SAMPLEID	SAMPLE_EUID	SPECIMEN_ID	SAMPLECLASS	SAMPLE_TYPE	SAMPLEUSE	ORDER_TYPE	CONCORDANCE_CONTROL_PATH	IS_POSITIVE_CONTROL	IS_NEGATIVE_CONTROL	TUM_NRM_SAMPLEID_MATCH	EXTERNAL_SAMPLE_ID	IDDNA_UID	TRUTH_DATA_DIR	SAMPLE_COMMENT
HG001	M-BNG-73	HG001	research	gdna	posControl	RESEARCH	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG001/	true	false	na	HG001		/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG001/	Bjuice prevalidation extracted material HG001; persisted sample EUID M-BNG-73
HG002	M-BNG-81	HG002	research	gdna	posControl	RESEARCH	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG002/	true	false	na	HG002		/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG002/	Bjuice prevalidation extracted material HG002; persisted sample EUID M-BNG-81
HG003	M-BNG-9Z	HG003	research	gdna	posControl	RESEARCH	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	true	false	na	HG003		/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	Bjuice prevalidation extracted material HG003; persisted sample EUID M-BNG-9Z
HG004	M-BNG-AX	HG004	research	gdna	posControl	RESEARCH	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG004/	true	false	na	HG004		/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG004/	Bjuice prevalidation extracted material HG004; persisted sample EUID M-BNG-AX
HG005	M-BNG-BV	HG005	research	gdna	posControl	RESEARCH	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG005/	true	false	na	HG005		/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG005/	Bjuice prevalidation extracted material HG005; persisted sample EUID M-BNG-BV
HG006	M-BNG-CS	HG006	research	gdna	posControl	RESEARCH	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG006/	true	false	na	HG006		/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG006/	Bjuice prevalidation extracted material HG006; persisted sample EUID M-BNG-CS
HG007	M-BNG-DQ	HG007	research	gdna	posControl	RESEARCH	/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG007/	true	false	na	HG007		/fsx/references/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG007/	Bjuice prevalidation extracted material HG007; persisted sample EUID M-BNG-DQ
NA05067	M-BNG-EN	NA05067	research	gdna	sample	RESEARCH	na	false	false	na	NA05067		na	Bjuice prevalidation extracted material NA05067; persisted sample EUID M-BNG-EN
NA10798	M-BNG-FK	NA10798	research	gdna	sample	RESEARCH	na	false	false	na	NA10798		na	Bjuice prevalidation extracted material NA10798; persisted sample EUID M-BNG-FK
NA13189	M-BNG-GG	NA13189	research	gdna	sample	RESEARCH	na	false	false	na	NA13189		na	Bjuice prevalidation extracted material NA13189; persisted sample EUID M-BNG-GG
NA14732	M-BNG-HE	NA14732	research	gdna	sample	RESEARCH	na	false	false	na	NA14732		na	Bjuice prevalidation extracted material NA14732; persisted sample EUID M-BNG-HE
NA14733	M-BNG-JC	NA14733	research	gdna	sample	RESEARCH	na	false	false	na	NA14733		na	Bjuice prevalidation extracted material NA14733; persisted sample EUID M-BNG-JC
NA15603	M-BNG-KA	NA15603	research	gdna	sample	RESEARCH	na	false	false	na	NA15603		na	Bjuice prevalidation extracted material NA15603; persisted sample EUID M-BNG-KA
NA15848	M-BNG-M8	NA15848	research	gdna	sample	RESEARCH	na	false	false	na	NA15848		na	Bjuice prevalidation extracted material NA15848; persisted sample EUID M-BNG-M8
NA15849	M-BNG-N6	NA15849	research	gdna	sample	RESEARCH	na	false	false	na	NA15849		na	Bjuice prevalidation extracted material NA15849; persisted sample EUID M-BNG-N6
NA19235	M-BNG-P4	NA19235	research	gdna	sample	RESEARCH	na	false	false	na	NA19235		na	Bjuice prevalidation extracted material NA19235; persisted sample EUID M-BNG-P4
NA20027	M-BNG-Q2	NA20027	research	gdna	sample	RESEARCH	na	false	false	na	NA20027		na	Bjuice prevalidation extracted material NA20027; persisted sample EUID M-BNG-Q2
NA20230	M-BNG-R0	NA20230	research	gdna	sample	RESEARCH	na	false	false	na	NA20230		na	Bjuice prevalidation extracted material NA20230; persisted sample EUID M-BNG-R0
NA20775	M-BNG-SY	NA20775	research	gdna	sample	RESEARCH	na	false	false	na	NA20775		na	Bjuice prevalidation extracted material NA20775; persisted sample EUID M-BNG-SY
NA23687	M-BNG-TW	NA23687	research	gdna	sample	RESEARCH	na	false	false	na	NA23687		na	Bjuice prevalidation extracted material NA23687; persisted sample EUID M-BNG-TW
