sample	package_id	package_status	raw_snapshot	raw_expansionhunter_tsv	raw_segdup_yaml	raw_segdup_final_vcfs	raw_segdup_shard_tars	raw_smn12_summary_json	raw_cnv_vcf	raw_longreadsv_vcf	raw_tiddit_vcf	raw_sex_complement_json	raw_goleft_indexcov_bed	supplemental_pre_smn12_summary_json
NA05067	NA05067-NA05067-NA05067-ILMN-LIB-NA05067-ONT-LIB-BJUICE-PREVAL-NA05067-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	False	False	False	False	False	False	False	False	False	False	True
NA10798	NA10798-NA10798-NA10798-ILMN-LIB-NA10798-ONT-LIB-BJUICE-PREVAL-NA10798-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	True	True	True	False	False	False	False	False	False	False	True
NA13189	NA13189-NA13189-NA13189-ILMN-LIB-NA13189-ONT-LIB-BJUICE-PREVAL-NA13189-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	True	True	True	False	False	False	False	False	False	False	True
NA14732	NA14732-NA14732-NA14732-ILMN-LIB-NA14732-ONT-LIB-BJUICE-PREVAL-NA14732-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	True	True	True	False	False	False	False	False	False	False	True
NA14733	NA14733-NA14733-NA14733-ILMN-LIB-NA14733-ONT-LIB-BJUICE-PREVAL-NA14733-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	True	True	True	False	False	False	False	False	False	False	True
NA15603	NA15603-NA15603-NA15603-ILMN-LIB-NA15603-ONT-LIB-BJUICE-PREVAL-NA15603-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	False	True	True	False	False	False	False	False	False	False	True
NA15848	NA15848-NA15848-NA15848-ILMN-LIB-NA15848-ONT-LIB-BJUICE-PREVAL-NA15848-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	True	True	True	False	False	False	False	False	False	False	True
NA15849	NA15849-NA15849-NA15849-ILMN-LIB-NA15849-ONT-LIB-BJUICE-PREVAL-NA15849-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	True	True	True	False	False	False	False	False	False	False	True
NA19235	NA19235-NA19235-NA19235-ILMN-LIB-NA19235-ONT-LIB-BJUICE-PREVAL-NA19235-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	True	True	True	False	False	False	False	False	False	False	True
NA20027	NA20027-NA20027-NA20027-ILMN-LIB-NA20027-ONT-LIB-BJUICE-PREVAL-NA20027-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	True	True	True	False	False	False	False	False	False	False	True
NA20230	NA20230-NA20230-NA20230-ILMN-LIB-NA20230-ONT-LIB-BJUICE-PREVAL-NA20230-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	True	True	True	False	False	False	False	False	False	False	True
NA20775	NA20775-NA20775-NA20775-ILMN-LIB-NA20775-ONT-LIB-BJUICE-PREVAL-NA20775-HIOMRS-A1	present	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	False	True	True	False	False	False	False	False	False	False	True
NA23687	NA23687-NA23687-NA23687-ILMN-LIB-NA23687-ONT-LIB-BJUICE-PREVAL-NA23687-HIOMRS-A1	missing	s3://lsmc-dayoa-analysis-results-usw2/validation/inflight_pr53_recovery_20260720T011608Z/ifx-p2-1000-120-0715/bjuiceprevalanalysis-complete/daylily-omics-analysis/results/day/hg38	False	False	False	False	False	False	False	False	False	False	True
