artifact_group	artifact_role	relative_path_pattern
evidence_qc	expected_artifacts_tsv	evidence/expected_artifacts.tsv
evidence_qc	expected_artifacts_json	evidence/expected_artifacts.json
small_variants	snv_indel_vcf	variants/snv/*.vcf.gz
small_variants	snv_indel_vcf_index	variants/snv/*.vcf.gz.tbi
cnv	cnv_vcf	variants/cnv/*.vcf.gz
cnv	cnv_vcf_index	variants/cnv/*.vcf.gz.tbi
sv	hiomrs_sv_vcf	variants/sv/hiomrs/*.vcf.gz
sv	hiomrs_sv_vcf_index	variants/sv/hiomrs/*.vcf.gz.tbi
sv	hiomrs_sv_provenance	variants/sv/hiomrs/*.provenance.json
sv	tiddit_sv_vcf	variants/sv/tiddit/*.vcf.gz
sv	tiddit_sv_vcf_index	variants/sv/tiddit/*.vcf.gz.tbi
mitochondrial	mitochondrial_vcf	variants/mitochondrial/*.vcf.gz
mitochondrial	mitochondrial_vcf_index	variants/mitochondrial/*.vcf.gz.tbi
repeat_expansion	expansionhunter_vcf	variants/repeat_expansion/*.vcf.gz
repeat_expansion	expansionhunter_json	variants/repeat_expansion/*.json
repeat_expansion	expansionhunter_report	variants/repeat_expansion/*.tsv
segdup	segdup_summary	variants/segdup/*summary*
segdup	segdup_merged_vcf	variants/segdup/*merged*.vcf.gz
segdup	segdup_merged_vcf_index	variants/segdup/*merged*.vcf.gz.tbi
segdup	segdup_gene_IKBKG	variants/segdup/IKBKG/*.json
segdup	segdup_gene_CFH	variants/segdup/CFH/*.vcf.gz
segdup	segdup_gene_CFH_index	variants/segdup/CFH/*.vcf.gz.tbi
segdup	segdup_gene_CYP11B1	variants/segdup/CYP11B1/*.vcf.gz
segdup	segdup_gene_CYP11B1_index	variants/segdup/CYP11B1/*.vcf.gz.tbi
segdup	segdup_gene_CYP2B6	variants/segdup/CYP2B6/*.vcf.gz
segdup	segdup_gene_CYP2B6_index	variants/segdup/CYP2B6/*.vcf.gz.tbi
segdup	segdup_gene_CYP2D6	variants/segdup/CYP2D6/*.vcf.gz
segdup	segdup_gene_CYP2D6_index	variants/segdup/CYP2D6/*.vcf.gz.tbi
segdup	segdup_gene_GBA1	variants/segdup/GBA1/*.vcf.gz
segdup	segdup_gene_GBA1_index	variants/segdup/GBA1/*.vcf.gz.tbi
segdup	segdup_gene_HBA	variants/segdup/HBA/*.vcf.gz
segdup	segdup_gene_HBA_index	variants/segdup/HBA/*.vcf.gz.tbi
segdup	segdup_gene_NCF1	variants/segdup/NCF1/*.vcf.gz
segdup	segdup_gene_NCF1_index	variants/segdup/NCF1/*.vcf.gz.tbi
segdup	segdup_gene_PMS2	variants/segdup/PMS2/*.vcf.gz
segdup	segdup_gene_PMS2_index	variants/segdup/PMS2/*.vcf.gz.tbi
segdup	segdup_gene_RCCX1	variants/segdup/RCCX1/*.vcf.gz
segdup	segdup_gene_RCCX1_index	variants/segdup/RCCX1/*.vcf.gz.tbi
segdup	segdup_gene_RHD	variants/segdup/RHD/*.vcf.gz
segdup	segdup_gene_RHD_index	variants/segdup/RHD/*.vcf.gz.tbi
segdup	segdup_gene_SBDS	variants/segdup/SBDS/*.vcf.gz
segdup	segdup_gene_SBDS_index	variants/segdup/SBDS/*.vcf.gz.tbi
segdup	segdup_gene_SMN1	variants/segdup/SMN1/*.vcf.gz
segdup	segdup_gene_SMN1_index	variants/segdup/SMN1/*.vcf.gz.tbi
segdup	segdup_gene_STRC	variants/segdup/STRC/*.vcf.gz
segdup	segdup_gene_STRC_index	variants/segdup/STRC/*.vcf.gz.tbi
smn	sentieon_smn1_vcf	smn/sentieon_smn1*.vcf.gz
smn	sentieon_smn1_vcf_index	smn/sentieon_smn1*.vcf.gz.tbi
smn	sentieon_smn_summary	smn/sentieon*.summary*
smn	smncopynumbercaller_summary	smn/smncopynumbercaller*
smn	smn_concordance_json	smn/smn_concordance.json
smn	smn_concordance_tsv	smn/smn_concordance.tsv
alignment	short_read_cram	alignments/short_read/*.cram
alignment	short_read_cram_index	alignments/short_read/*.cram.crai
evidence_qc	package_metrics	qc/package_metrics.json
evidence_qc	package_compliance	qc/package_compliance.json
evidence_qc	artifact_failure_evidence	evidence/artifact_failures.json
