sample	runtime_scope	analysis_units	specimens	samples	libraries	sequencing_inputs	ont_hour_window	subsample_pct	wall_runtime	best_case_runtime	evidence
HG003	local checked-in subset summary	1	1	1	2	4	half-open:0-4	0.50	not recorded in this JSON	not computable from local checked-in benchmark evidence	daylily-ephemeral-cluster/docs/plans/20260719T133324Z_majors_bjuiceprevalanalysis_complete_artifacts/runtime_hg003_ont_0_4/runtime_summary.json
HG001	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
HG002	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
HG003	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
HG004	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
HG005	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
HG006	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
HG007	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
NA05067	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
NA10798	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
NA13189	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
NA14732	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
NA14733	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
NA15603	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
NA15848	bjuice20 package snapshot	1	1	1	2	4			not locally available; terminal controller evidence absent from snapshot package	not locally available; per-AU benchmark TSVs require S3/FSx refresh	daylily-ephemeral-cluster/docs/plans/20260720T011608Z_bjuice20_inflight_fsx_export/inflection_packages_available.md
