sample	query	benchmark_kind	publication_status	projected	compared	tp_base	tp_comp	fp	fn	published_precision	published_recall	published_f1	raw_precision	raw_recall	raw_f1	gap_or_interpretation
HG002	jasmine_alignment_compare	alignment-branch DEL/INS >=20	SUCCESS	base=55782;query=53497	46481 matched	46481	46481	7016	9301	0.8688524590163934	0.8332616256139973	0.8506849440423138	0.8688524590163934	0.8332616256139973	0.8506849440423138	Directional Winnowmap-base versus Sentieon-minimap2 query comparison; not GIAB truth accuracy
HG002	cnvscope	GIAB SV DEL/INS >=50	SUCCESS	625	625	206	206	419	27939	0.3296	0.007319239651803163	0.0143204727146333	0.3296	0.007319239651803163	0.0143204727146333	Accepted PASS-only metrics; CNV records normalized to DEL projection
HG002	hard_snv	GIAB SV DEL/INS >=50	SUCCESS	5393	5393	4971	4971	422	23174	0.9217504172074912	0.1766210694617161	0.2964398592641183	0.9217504172074912	0.1766210694617161	0.2964398592641183	SV projection from the hard-VCF file; not the RTG SNV giabHC F-score
HG002	jasmine_companion	GIAB SV DEL/INS >=50	SUCCESS	4313	4313	3124	3124	1189	25021	0.7243218177602597	0.11099662462249067	0.19249491650748657	0.7243218177602597	0.11099662462249067	0.19249491650748657	Accepted PASS-only metrics
HG002	jasmine_final	GIAB SV DEL/INS >=50	DIAGNOSTIC_FAILED	21936	21928								0.7970631156512222	0.6209984011369692	0.6981007728716074	Eight-record reconciliation mismatch; raw summary is non-authoritative
HG002	jasmine_full	GIAB SV DEL/INS >=50	DIAGNOSTIC_FAILED	31949	31941								0.5823236592467361	0.6608633860365962	0.6191126052657856	Eight-record reconciliation mismatch; raw summary is non-authoritative
HG002	longreadsv	GIAB SV DEL/INS >=50	DIAGNOSTIC_FAILED	19849	19841								0.8537876115115166	0.6018831053473086	0.7060392614512567	Eight-record reconciliation mismatch; raw summary is non-authoritative
HG002	sniffles1_iris	GIAB SV DEL/INS >=50	SUCCESS	20383	20383	17843	17843	2540	10302	0.8753863513712408	0.6339669568306981	0.7353692713484997	0.8753863513712408	0.6339669568306981	0.7353692713484997	Accepted PASS-only metrics
HG002	sniffles1_iris_sentieon	GIAB SV DEL/INS >=50	SUCCESS receipt; alias not aggregated	20383	20383	17843	17843	2540	10302				0.8753863513712408	0.6339669568306981	0.7353692713484997	Exact query duplicate of sniffles1_iris; terminal evidence retained without double-counting aggregate metrics
HG002	sniffles2	GIAB SV DEL/INS >=50	DIAGNOSTIC_FAILED	18269	18262								0.9202168437191983	0.5970865162551074	0.7242441872993298	Seven-record reconciliation mismatch; raw summary is non-authoritative
HG002	tiddit	GIAB SV DEL/INS >=50	SUCCESS	4912	4912	2919	2919	1993	25226	0.5942589576547231	0.10371291526025937	0.1766040475542245	0.5942589576547231	0.10371291526025937	0.1766040475542245	Accepted PASS-only metrics
HG002	cnvscope_copy_state_pass	GIAB/Q100 directional copy-state proxy	DIAGNOSTIC_FAILED													PASS truth projection was empty; no metric exists
HG002	cnvscope_copy_state_all	GIAB/Q100 directional copy-state proxy	DIAGNOSTIC_FAILED													All-filter truth projection was empty; no metric exists
HG002	nicu_jasmine	GIAB SV DEL/INS >=50	WARNING; DIAGNOSTIC_FAILED receipt	30395	30388											Seven-record reconciliation mismatch; user accepted warning-only completion and no benchmark metric was published
NA23687	nicu_jasmine	GIAB SV DEL/INS >=50	NOT_APPLICABLE													GIAB SV v5.0q NICU truth is HG002-only; no comparison was attempted and no metrics were emitted
