sample	analysis_unit_uid	treatment	count	share_pct	total_scoped_records
HG002	HG002-ck2ky6p4wk6exh	Confirmed	4098087	79.58781070	5149139
HG002	HG002-ck2ky6p4wk6exh	NeedsReview-AlleleBalance	249040	4.83653675	5149139
HG002	HG002-ck2ky6p4wk6exh	NeedsReview-HighSB	22654	0.43995705	5149139
HG002	HG002-ck2ky6p4wk6exh	NeedsReview-LongReadOnly	26582	0.51624165	5149139
HG002	HG002-ck2ky6p4wk6exh	NeedsReview-LowCoverage	199593	3.87624028	5149139
HG002	HG002-ck2ky6p4wk6exh	NeedsReview-Other	1706	0.03313175	5149139
HG002	HG002-ck2ky6p4wk6exh	NeedsReview-Unconfirmed	532871	10.34873986	5149139
HG002	HG002-ck2ky6p4wk6exh	NeedsReview-VariantCluster	18606	0.36134196	5149139
NA23687	NA23687-zsvw0fa30jhz3n	Confirmed	4236136	80.20674347	5281521
NA23687	NA23687-zsvw0fa30jhz3n	NeedsReview-AlleleBalance	259814	4.91930260	5281521
NA23687	NA23687-zsvw0fa30jhz3n	NeedsReview-HighSB	19904	0.37686114	5281521
NA23687	NA23687-zsvw0fa30jhz3n	NeedsReview-LongReadOnly	32916	0.62322956	5281521
NA23687	NA23687-zsvw0fa30jhz3n	NeedsReview-LowCoverage	180026	3.40860142	5281521
NA23687	NA23687-zsvw0fa30jhz3n	NeedsReview-Other	1850	0.03502779	5281521
NA23687	NA23687-zsvw0fa30jhz3n	NeedsReview-Unconfirmed	532743	10.08692382	5281521
NA23687	NA23687-zsvw0fa30jhz3n	NeedsReview-VariantCluster	18132	0.34331019	5281521
