ANALYSIS_UNIT_UID	SEQUENCING_INPUT_UID	ROLE	INPUT_ORDINAL
TAKE222-HG003-HIOMRS	HG003-ILMN-M-BNQ-CJ	sr	1
TAKE222-HG003-HIOMRS	HG003-ONT-M-BNQ-11F-M-BGS-174	lr	2
TAKE222-HG003-HIOMRS	HG003-ONT-M-BNQ-11F-M-BGS-182	lr	3
TAKE222-HG003-HIOMRS	HG003-ONT-M-BNQ-11F-M-BGS-1CT	lr	4
TAKE222-HG004-HIOMRS	HG004-ILMN-M-BNQ-DG	sr	1
TAKE222-HG004-HIOMRS	HG004-ONT-M-BNQ-12D-M-BGS-190	lr	2
TAKE222-HG004-HIOMRS	HG004-ONT-M-BNQ-12D-M-BGS-1AY	lr	3
TAKE222-HG004-HIOMRS	HG004-ONT-M-BNQ-12D-M-BGS-1BW	lr	4
TAKE222-NA19235-HIOMRS	NA19235-ILMN-M-BNQ-SQ	sr	1
TAKE222-NA19235-HIOMRS	NA19235-ONT-M-BNQ-1EN-M-BGS-14A	lr	2
TAKE222-NA19235-HIOMRS	NA19235-ONT-M-BNQ-1EN-M-BGS-158	lr	3
TAKE222-NA19235-HIOMRS	NA19235-ONT-M-BNQ-1EN-M-BGS-166	lr	4
TAKE222-NA20775-HIOMRS	NA20775-ILMN-M-BNQ-WH	sr	1
TAKE222-NA20775-HIOMRS	NA20775-ONT-M-BNQ-1HE-M-BGS-14A	lr	2
TAKE222-NA20775-HIOMRS	NA20775-ONT-M-BNQ-1HE-M-BGS-158	lr	3
TAKE222-NA20775-HIOMRS	NA20775-ONT-M-BNQ-1HE-M-BGS-166	lr	4
