kind	name	source	destination	completed_utc
conda	082c686fea1dcb2e746ed6db73354d1a_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/082c686fea1dcb2e746ed6db73354d1a_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/082c686fea1dcb2e746ed6db73354d1a_/	2026-08-10T06:14:13Z
conda	36d377f2690370c395cad3d44fcb97ff_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/36d377f2690370c395cad3d44fcb97ff_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/36d377f2690370c395cad3d44fcb97ff_/	2026-08-10T06:18:04Z
conda	3a4066336aa1dec4d6bc615e5e6cbb16_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/3a4066336aa1dec4d6bc615e5e6cbb16_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/3a4066336aa1dec4d6bc615e5e6cbb16_/	2026-08-10T06:27:25Z
conda	41bdd5851090dbb2336356a3f0be2473_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/41bdd5851090dbb2336356a3f0be2473_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/41bdd5851090dbb2336356a3f0be2473_/	2026-08-10T06:31:48Z
conda	4ff65c6aaa4e6658e7c422971c95ee85_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/4ff65c6aaa4e6658e7c422971c95ee85_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/4ff65c6aaa4e6658e7c422971c95ee85_/	2026-08-10T06:41:50Z
conda	766fb474be68885012083f6c622f6179_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/766fb474be68885012083f6c622f6179_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/766fb474be68885012083f6c622f6179_/	2026-08-10T06:47:00Z
conda	88aa4998af771810a00fe2cb10e21246_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/88aa4998af771810a00fe2cb10e21246_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/88aa4998af771810a00fe2cb10e21246_/	2026-08-10T06:52:18Z
conda	92f8bbc953659a4d8cf233a75d457e3f_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/92f8bbc953659a4d8cf233a75d457e3f_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/92f8bbc953659a4d8cf233a75d457e3f_/	2026-08-10T06:58:17Z
conda	957e87d5fe4ac8a44e5724ce50a149a1_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/957e87d5fe4ac8a44e5724ce50a149a1_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/957e87d5fe4ac8a44e5724ce50a149a1_/	2026-08-10T07:02:57Z
conda	9a8eaaa988c7096ecb77708fde347089_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/9a8eaaa988c7096ecb77708fde347089_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/9a8eaaa988c7096ecb77708fde347089_/	2026-08-10T07:11:51Z
conda	a443e7e684bb6c610530885db6664055_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/a443e7e684bb6c610530885db6664055_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/a443e7e684bb6c610530885db6664055_/	2026-08-10T07:17:23Z
conda	af0132e7fe10ee4cd05c1b877bcd09e8_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/af0132e7fe10ee4cd05c1b877bcd09e8_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/af0132e7fe10ee4cd05c1b877bcd09e8_/	2026-08-10T07:28:37Z
conda	b26a7b457aa6640a1af9af0f76be96a2_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/b26a7b457aa6640a1af9af0f76be96a2_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/b26a7b457aa6640a1af9af0f76be96a2_/	2026-08-10T07:31:43Z
conda	b3a9d533cd18cabddbe62f2713320a54_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/b3a9d533cd18cabddbe62f2713320a54_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/b3a9d533cd18cabddbe62f2713320a54_/	2026-08-10T07:39:58Z
conda	bf30457594bff473900e8811233cd47a_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/bf30457594bff473900e8811233cd47a_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/bf30457594bff473900e8811233cd47a_/	2026-08-10T07:43:45Z
conda	bf9ae2783a216ee7f6faf43a364179db_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/bf9ae2783a216ee7f6faf43a364179db_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/bf9ae2783a216ee7f6faf43a364179db_/	2026-08-10T07:49:35Z
conda	c2e451114a625144ab03840e398ea712_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/c2e451114a625144ab03840e398ea712_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/c2e451114a625144ab03840e398ea712_/	2026-08-10T07:58:43Z
conda	c9170b1232ccf7ec20f43ced852fb8c2_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/c9170b1232ccf7ec20f43ced852fb8c2_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/c9170b1232ccf7ec20f43ced852fb8c2_/	2026-08-10T08:01:15Z
conda	caa10c232eb19f6543aa45820fda8f74_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/caa10c232eb19f6543aa45820fda8f74_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/caa10c232eb19f6543aa45820fda8f74_/	2026-08-10T08:06:52Z
conda	cba901145cdb176cc8ee56f2aac12b87_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/cba901145cdb176cc8ee56f2aac12b87_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/cba901145cdb176cc8ee56f2aac12b87_/	2026-08-10T08:36:08Z
