ANALYSIS_UNIT_UID	SEQUENCING_INPUT_UID	ROLE	INPUT_ORDINAL
HG002-ilmn0p5x_ont0p5x_h01	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-ilmn0p5x_ont0p5x_h01	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
HG002-ilmn0p5x_ont0p5x_h01	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
HG002-ilmn0p5x_ont0p5x_h01	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
HG002-ilmn0p5x_ont4x_h08	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-ilmn0p5x_ont4x_h08	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
HG002-ilmn0p5x_ont4x_h08	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
HG002-ilmn0p5x_ont4x_h08	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
HG002-ilmn0p5x_ont12x_h24	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-ilmn0p5x_ont12x_h24	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
HG002-ilmn0p5x_ont12x_h24	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
HG002-ilmn0p5x_ont12x_h24	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
HG002-ilmn0p5x_ont30x_h72	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-ilmn0p5x_ont30x_h72	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
HG002-ilmn0p5x_ont30x_h72	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
HG002-ilmn0p5x_ont30x_h72	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
HG002-ilmn2x_ont0p5x_h01	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-ilmn2x_ont0p5x_h01	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
