new_au_id	nominal_ilmn_target_x	illumina_source_fraction	nominal_ont_target_x	ont_start_hour	ont_end_hour	ont_window	purpose	state
N01	0.5	0.011433798	0.5	0	1	[0,1)	low-SR boundary	PROPOSED_NOT_LAUNCHED
N02	0.5	0.011433798	4	0	8	[0,8)	low-SR boundary	PROPOSED_NOT_LAUNCHED
N03	0.5	0.011433798	12	0	24	[0,24)	low-SR boundary	PROPOSED_NOT_LAUNCHED
N04	0.5	0.011433798	30	0	72	[0,72)	low-SR boundary	PROPOSED_NOT_LAUNCHED
N05	10	0.228675966	0.5	0	1	[0,1)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N06	10	0.228675966	4	0	8	[0,8)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N07	10	0.228675966	12	0	24	[0,24)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N08	10	0.228675966	30	0	72	[0,72)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N09	30	0.686027898	30	0	72	[0,72)	long-LR SR-ladder anchor	PROPOSED_NOT_LAUNCHED
N10	43.73	1.000000000	30	0	72	[0,72)	long-LR SR-ladder anchor	PROPOSED_NOT_LAUNCHED
N11	2	0.045735193	0.5	0	1	[0,1)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N12	2	0.045735193	4	0	8	[0,8)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N13	2	0.045735193	12	0	24	[0,24)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N14	2	0.045735193	30	0	72	[0,72)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N15	20	0.457351932	0.5	0	1	[0,1)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N16	20	0.457351932	4	0	8	[0,8)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N17	20	0.457351932	12	0	24	[0,24)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N18	20	0.457351932	30	0	72	[0,72)	low/mid-SR cross	PROPOSED_NOT_LAUNCHED
N19	5	0.114337983	30	0	72	[0,72)	long-LR SR-ladder anchor	PROPOSED_NOT_LAUNCHED
N20	15	0.343013949	30	0	72	[0,72)	long-LR SR-ladder anchor	PROPOSED_NOT_LAUNCHED
