ANALYSIS_UNIT_UID	SEQUENCING_INPUT_UID	ROLE	INPUT_ORDINAL
AU-ilmn-run16-r16-line068-ILMN-CASE5-P-HIOMRS	INPUT-ilmn-run16-r16-line068-ILMN-CASE5-P-ILMN	sr	1
AU-ilmn-run16-r16-line068-ILMN-CASE5-P-HIOMRS	INPUT-ilmn-run16-r16-line068-ILMN-CASE5-P-ONT	lr	2
AU-ilmn-run16-r16-line069-ILMN-CASE6-P-HIOMRS	INPUT-ilmn-run16-r16-line069-ILMN-CASE6-P-ILMN	sr	1
AU-ilmn-run16-r16-line069-ILMN-CASE6-P-HIOMRS	INPUT-ilmn-run16-r16-line069-ILMN-CASE6-P-ONT	lr	2
AU-ilmn-run16-r16-line070-ILMN-CASE7-P-HIOMRS	INPUT-ilmn-run16-r16-line070-ILMN-CASE7-P-ILMN	sr	1
AU-ilmn-run16-r16-line070-ILMN-CASE7-P-HIOMRS	INPUT-ilmn-run16-r16-line070-ILMN-CASE7-P-ONT	lr	2
AU-ilmn-run16-r16-line071-ILMN-CASE8-P-HIOMRS	INPUT-ilmn-run16-r16-line071-ILMN-CASE8-P-ILMN	sr	1
AU-ilmn-run16-r16-line071-ILMN-CASE8-P-HIOMRS	INPUT-ilmn-run16-r16-line071-ILMN-CASE8-P-ONT	lr	2
AU-ilmn-run16-r16-line072-ILMN-CASE9-P-HIOMRS	INPUT-ilmn-run16-r16-line072-ILMN-CASE9-P-ILMN	sr	1
AU-ilmn-run16-r16-line072-ILMN-CASE9-P-HIOMRS	INPUT-ilmn-run16-r16-line072-ILMN-CASE9-P-ONT	lr	2
AU-ilmn-run16-r16-line073-ILMN-CASE10-P-HIOMRS	INPUT-ilmn-run16-r16-line073-ILMN-CASE10-P-ILMN	sr	1
AU-ilmn-run16-r16-line073-ILMN-CASE10-P-HIOMRS	INPUT-ilmn-run16-r16-line073-ILMN-CASE10-P-ONT	lr	2
AU-ilmn-run16-r16-line095-ILMN-CASE1-M-a-HIOMRS	INPUT-ilmn-run16-r16-line095-ILMN-CASE1-M-a-ILMN	sr	1
AU-ilmn-run16-r16-line095-ILMN-CASE1-M-a-HIOMRS	INPUT-ilmn-run16-r16-line095-ILMN-CASE1-M-a-ONT	lr	2
AU-ilmn-run16-r16-line096-ILMN-CASE1-P-a-HIOMRS	INPUT-ilmn-run16-r16-line096-ILMN-CASE1-P-a-ILMN	sr	1
AU-ilmn-run16-r16-line096-ILMN-CASE1-P-a-HIOMRS	INPUT-ilmn-run16-r16-line096-ILMN-CASE1-P-a-ONT	lr	2
AU-ilmn-run16-r16-line097-ILMN-CASE1-F-a-HIOMRS	INPUT-ilmn-run16-r16-line097-ILMN-CASE1-F-a-ILMN	sr	1
AU-ilmn-run16-r16-line097-ILMN-CASE1-F-a-HIOMRS	INPUT-ilmn-run16-r16-line097-ILMN-CASE1-F-a-ONT	lr	2
AU-ilmn-run16-r16-line098-ILMN-CASE2-P-a-HIOMRS	INPUT-ilmn-run16-r16-line098-ILMN-CASE2-P-a-ILMN	sr	1
AU-ilmn-run16-r16-line098-ILMN-CASE2-P-a-HIOMRS	INPUT-ilmn-run16-r16-line098-ILMN-CASE2-P-a-ONT	lr	2
AU-ilmn-run16-r16-line099-ILMN-CASE2-P-b-HIOMRS	INPUT-ilmn-run16-r16-line099-ILMN-CASE2-P-b-ILMN	sr	1
AU-ilmn-run16-r16-line099-ILMN-CASE2-P-b-HIOMRS	INPUT-ilmn-run16-r16-line099-ILMN-CASE2-P-b-ONT	lr	2
AU-ilmn-run16-r16-line100-ILMN-CASE2-P-c-HIOMRS	INPUT-ilmn-run16-r16-line100-ILMN-CASE2-P-c-ILMN	sr	1
AU-ilmn-run16-r16-line100-ILMN-CASE2-P-c-HIOMRS	INPUT-ilmn-run16-r16-line100-ILMN-CASE2-P-c-ONT	lr	2
AU-ilmn-run16-r16-line102-BUCCAL1-b-HIOMRS	INPUT-ilmn-run16-r16-line102-BUCCAL1-b-ILMN	sr	1
AU-ilmn-run16-r16-line102-BUCCAL1-b-HIOMRS	INPUT-ilmn-run16-r16-line102-BUCCAL1-b-ONT	lr	2
AU-ilmn-run16-r16-line103-BUCCAL2-b-HIOMRS	INPUT-ilmn-run16-r16-line103-BUCCAL2-b-ILMN	sr	1
AU-ilmn-run16-r16-line103-BUCCAL2-b-HIOMRS	INPUT-ilmn-run16-r16-line103-BUCCAL2-b-ONT	lr	2
AU-ilmn-run16-r16-line104-BUCCAL3-b-HIOMRS	INPUT-ilmn-run16-r16-line104-BUCCAL3-b-ILMN	sr	1
AU-ilmn-run16-r16-line104-BUCCAL3-b-HIOMRS	INPUT-ilmn-run16-r16-line104-BUCCAL3-b-ONT	lr	2
AU-ilmn-run16-r16-line105-BUCCAL10-HIOMRS	INPUT-ilmn-run16-r16-line105-BUCCAL10-ILMN	sr	1
AU-ilmn-run16-r16-line105-BUCCAL10-HIOMRS	INPUT-ilmn-run16-r16-line105-BUCCAL10-ONT	lr	2
AU-ilmn-run16-r16-line106-ILMN-CASE5-M-HIOMRS	INPUT-ilmn-run16-r16-line106-ILMN-CASE5-M-ILMN	sr	1
AU-ilmn-run16-r16-line106-ILMN-CASE5-M-HIOMRS	INPUT-ilmn-run16-r16-line106-ILMN-CASE5-M-ONT	lr	2
AU-ilmn-run16-r16-line107-ILMN-CASE5-F-HIOMRS	INPUT-ilmn-run16-r16-line107-ILMN-CASE5-F-ILMN	sr	1
AU-ilmn-run16-r16-line107-ILMN-CASE5-F-HIOMRS	INPUT-ilmn-run16-r16-line107-ILMN-CASE5-F-ONT	lr	2
AU-ilmn-run16-r16-line108-ILMN-CASE7-M-HIOMRS	INPUT-ilmn-run16-r16-line108-ILMN-CASE7-M-ILMN	sr	1
AU-ilmn-run16-r16-line108-ILMN-CASE7-M-HIOMRS	INPUT-ilmn-run16-r16-line108-ILMN-CASE7-M-ONT	lr	2
AU-ilmn-run16-r16-line109-ILMN-CASE7-F-HIOMRS	INPUT-ilmn-run16-r16-line109-ILMN-CASE7-F-ILMN	sr	1
AU-ilmn-run16-r16-line109-ILMN-CASE7-F-HIOMRS	INPUT-ilmn-run16-r16-line109-ILMN-CASE7-F-ONT	lr	2
AU-ilmn-run16-r16-line110-ILMN-CASE9-M-HIOMRS	INPUT-ilmn-run16-r16-line110-ILMN-CASE9-M-ILMN	sr	1
AU-ilmn-run16-r16-line110-ILMN-CASE9-M-HIOMRS	INPUT-ilmn-run16-r16-line110-ILMN-CASE9-M-ONT	lr	2
AU-ilmn-run16-r16-line111-ILMN-CASE10-M-HIOMRS	INPUT-ilmn-run16-r16-line111-ILMN-CASE10-M-ILMN	sr	1
AU-ilmn-run16-r16-line111-ILMN-CASE10-M-HIOMRS	INPUT-ilmn-run16-r16-line111-ILMN-CASE10-M-ONT	lr	2
AU-ilmn-run16-r16-line112-ILMN-CASE10-F-HIOMRS	INPUT-ilmn-run16-r16-line112-ILMN-CASE10-F-ILMN	sr	1
AU-ilmn-run16-r16-line112-ILMN-CASE10-F-HIOMRS	INPUT-ilmn-run16-r16-line112-ILMN-CASE10-F-ONT	lr	2
AU-ilmn-run16-r16-line113-ILMN-CASE11-P-HIOMRS	INPUT-ilmn-run16-r16-line113-ILMN-CASE11-P-ILMN	sr	1
AU-ilmn-run16-r16-line113-ILMN-CASE11-P-HIOMRS	INPUT-ilmn-run16-r16-line113-ILMN-CASE11-P-ONT	lr	2
AU-ilmn-run16-r16-line114-ILMN-CASE11-M-HIOMRS	INPUT-ilmn-run16-r16-line114-ILMN-CASE11-M-ILMN	sr	1
AU-ilmn-run16-r16-line114-ILMN-CASE11-M-HIOMRS	INPUT-ilmn-run16-r16-line114-ILMN-CASE11-M-ONT	lr	2
AU-ilmn-run16-r16-line115-ILMN-CASE12-P-HIOMRS	INPUT-ilmn-run16-r16-line115-ILMN-CASE12-P-ILMN	sr	1
AU-ilmn-run16-r16-line115-ILMN-CASE12-P-HIOMRS	INPUT-ilmn-run16-r16-line115-ILMN-CASE12-P-ONT	lr	2
AU-ilmn-run16-r16-line116-ILMN-CASE12-M-HIOMRS	INPUT-ilmn-run16-r16-line116-ILMN-CASE12-M-ILMN	sr	1
AU-ilmn-run16-r16-line116-ILMN-CASE12-M-HIOMRS	INPUT-ilmn-run16-r16-line116-ILMN-CASE12-M-ONT	lr	2
AU-ilmn-run16-r16-line117-ILMN-CASE13-P-HIOMRS	INPUT-ilmn-run16-r16-line117-ILMN-CASE13-P-ILMN	sr	1
AU-ilmn-run16-r16-line117-ILMN-CASE13-P-HIOMRS	INPUT-ilmn-run16-r16-line117-ILMN-CASE13-P-ONT	lr	2
AU-ilmn-run16-r16-line118-ILMN-CASE13-M-HIOMRS	INPUT-ilmn-run16-r16-line118-ILMN-CASE13-M-ILMN	sr	1
AU-ilmn-run16-r16-line118-ILMN-CASE13-M-HIOMRS	INPUT-ilmn-run16-r16-line118-ILMN-CASE13-M-ONT	lr	2
AU-ilmn-run16-r16-line119-ILMN-CASE13-F-HIOMRS	INPUT-ilmn-run16-r16-line119-ILMN-CASE13-F-ILMN	sr	1
AU-ilmn-run16-r16-line119-ILMN-CASE13-F-HIOMRS	INPUT-ilmn-run16-r16-line119-ILMN-CASE13-F-ONT	lr	2
AU-ilmn-run16-r16-line120-ILMN-CASE14-P-HIOMRS	INPUT-ilmn-run16-r16-line120-ILMN-CASE14-P-ILMN	sr	1
AU-ilmn-run16-r16-line120-ILMN-CASE14-P-HIOMRS	INPUT-ilmn-run16-r16-line120-ILMN-CASE14-P-ONT	lr	2
AU-ilmn-run16-r16-line121-ILMN-CASE14-M-HIOMRS	INPUT-ilmn-run16-r16-line121-ILMN-CASE14-M-ILMN	sr	1
AU-ilmn-run16-r16-line121-ILMN-CASE14-M-HIOMRS	INPUT-ilmn-run16-r16-line121-ILMN-CASE14-M-ONT	lr	2
AU-ilmn-run16-r16-line122-ILMN-CASE14-F-HIOMRS	INPUT-ilmn-run16-r16-line122-ILMN-CASE14-F-ILMN	sr	1
AU-ilmn-run16-r16-line122-ILMN-CASE14-F-HIOMRS	INPUT-ilmn-run16-r16-line122-ILMN-CASE14-F-ONT	lr	2
AU-ilmn-run16-r16-line123-ILMN-CASE15-P-HIOMRS	INPUT-ilmn-run16-r16-line123-ILMN-CASE15-P-ILMN	sr	1
AU-ilmn-run16-r16-line123-ILMN-CASE15-P-HIOMRS	INPUT-ilmn-run16-r16-line123-ILMN-CASE15-P-ONT	lr	2
AU-ilmn-run16-r16-line124-ILMN-CASE16-P-HIOMRS	INPUT-ilmn-run16-r16-line124-ILMN-CASE16-P-ILMN	sr	1
