ANALYSIS_UNIT_UID	ANALYSIS_UNIT_EUID	SAMPLEID	DELIVERY_EUID	DELIVERY_PROFILE	CUSTOMER_DELIVERY_ID	SUBSAMPLE_PCT	ONT_SUBSAMPLE_PCT	ONT_FQ_START_HOUR	ONT_FQ_END_HOUR	ALIGNED_REF_UID	BWA_KMER	DEEP_MODEL	MERGE_SINGLE	ANALYSIS_UNIT_COMMENT
AU-ilmn-run16-r16-line068-ILMN-CASE5-P-HIOMRS		CASE5-P		local				0	24		19	WGS	single	Corrected crosswalk line 68; unit_id=ILMN-CASE5-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line069-ILMN-CASE6-P-HIOMRS		CASE6-P		local				0	24		19	WGS	single	Corrected crosswalk line 69; unit_id=ILMN-CASE6-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line070-ILMN-CASE7-P-HIOMRS		CASE7-P		local				0	24		19	WGS	single	Corrected crosswalk line 70; unit_id=ILMN-CASE7-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line071-ILMN-CASE8-P-HIOMRS		CASE8-P		local				0	24		19	WGS	single	Corrected crosswalk line 71; unit_id=ILMN-CASE8-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line072-ILMN-CASE9-P-HIOMRS		CASE9-P		local				0	24		19	WGS	single	Corrected crosswalk line 72; unit_id=ILMN-CASE9-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line073-ILMN-CASE10-P-HIOMRS		CASE10-P		local				0	24		19	WGS	single	Corrected crosswalk line 73; unit_id=ILMN-CASE10-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line095-ILMN-CASE1-M-a-HIOMRS		CASE1-M		local				0	24		19	WGS	single	Corrected crosswalk line 95; unit_id=ILMN-CASE1-M-a; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line096-ILMN-CASE1-P-a-HIOMRS		CASE1-P		local				0	24		19	WGS	single	Corrected crosswalk line 96; unit_id=ILMN-CASE1-P-a; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line097-ILMN-CASE1-F-a-HIOMRS		CASE1-F		local				0	24		19	WGS	single	Corrected crosswalk line 97; unit_id=ILMN-CASE1-F-a; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line098-ILMN-CASE2-P-a-HIOMRS		CASE2-P		local				0	24		19	WGS	single	Corrected crosswalk line 98; unit_id=ILMN-CASE2-P-a; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line099-ILMN-CASE2-P-b-HIOMRS		CASE2-P		local				0	24		19	WGS	single	Corrected crosswalk line 99; unit_id=ILMN-CASE2-P-b; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line100-ILMN-CASE2-P-c-HIOMRS		CASE2-P		local				0	24		19	WGS	single	Corrected crosswalk line 100; unit_id=ILMN-CASE2-P-c; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line102-BUCCAL1-b-HIOMRS		BUCCAL1		local				0	24		19	WGS	single	Corrected crosswalk line 102; unit_id=BUCCAL1-b; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line103-BUCCAL2-b-HIOMRS		BUCCAL2		local				0	24		19	WGS	single	Corrected crosswalk line 103; unit_id=BUCCAL2-b; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line104-BUCCAL3-b-HIOMRS		BUCCAL3		local				0	24		19	WGS	single	Corrected crosswalk line 104; unit_id=BUCCAL3-b; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line105-BUCCAL10-HIOMRS		BUCCAL10		local				0	24		19	WGS	single	Corrected crosswalk line 105; unit_id=BUCCAL10; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line106-ILMN-CASE5-M-HIOMRS		CASE5-M		local				0	24		19	WGS	single	Corrected crosswalk line 106; unit_id=ILMN-CASE5-M; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line107-ILMN-CASE5-F-HIOMRS		CASE5-F		local				0	24		19	WGS	single	Corrected crosswalk line 107; unit_id=ILMN-CASE5-F; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line108-ILMN-CASE7-M-HIOMRS		CASE7-M		local				0	24		19	WGS	single	Corrected crosswalk line 108; unit_id=ILMN-CASE7-M; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line109-ILMN-CASE7-F-HIOMRS		CASE7-F		local				0	24		19	WGS	single	Corrected crosswalk line 109; unit_id=ILMN-CASE7-F; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line110-ILMN-CASE9-M-HIOMRS		CASE9-M		local				0	24		19	WGS	single	Corrected crosswalk line 110; unit_id=ILMN-CASE9-M; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line111-ILMN-CASE10-M-HIOMRS		CASE10-M		local				0	24		19	WGS	single	Corrected crosswalk line 111; unit_id=ILMN-CASE10-M; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line112-ILMN-CASE10-F-HIOMRS		CASE10-F		local				0	24		19	WGS	single	Corrected crosswalk line 112; unit_id=ILMN-CASE10-F; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line113-ILMN-CASE11-P-HIOMRS		CASE11-P		local				0	24		19	WGS	single	Corrected crosswalk line 113; unit_id=ILMN-CASE11-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line114-ILMN-CASE11-M-HIOMRS		CASE11-M		local				0	24		19	WGS	single	Corrected crosswalk line 114; unit_id=ILMN-CASE11-M; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line115-ILMN-CASE12-P-HIOMRS		CASE12-P		local				0	24		19	WGS	single	Corrected crosswalk line 115; unit_id=ILMN-CASE12-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line116-ILMN-CASE12-M-HIOMRS		CASE12-M		local				0	24		19	WGS	single	Corrected crosswalk line 116; unit_id=ILMN-CASE12-M; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line117-ILMN-CASE13-P-HIOMRS		CASE13-P		local				0	24		19	WGS	single	Corrected crosswalk line 117; unit_id=ILMN-CASE13-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line118-ILMN-CASE13-M-HIOMRS		CASE13-M		local				0	24		19	WGS	single	Corrected crosswalk line 118; unit_id=ILMN-CASE13-M; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line119-ILMN-CASE13-F-HIOMRS		CASE13-F		local				0	24		19	WGS	single	Corrected crosswalk line 119; unit_id=ILMN-CASE13-F; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line120-ILMN-CASE14-P-HIOMRS		CASE14-P		local				0	24		19	WGS	single	Corrected crosswalk line 120; unit_id=ILMN-CASE14-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line121-ILMN-CASE14-M-HIOMRS		CASE14-M		local				0	24		19	WGS	single	Corrected crosswalk line 121; unit_id=ILMN-CASE14-M; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line122-ILMN-CASE14-F-HIOMRS		CASE14-F		local				0	24		19	WGS	single	Corrected crosswalk line 122; unit_id=ILMN-CASE14-F; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line123-ILMN-CASE15-P-HIOMRS		CASE15-P		local				0	24		19	WGS	single	Corrected crosswalk line 123; unit_id=ILMN-CASE15-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line124-ILMN-CASE16-P-HIOMRS		CASE16-P		local				0	24		19	WGS	single	Corrected crosswalk line 124; unit_id=ILMN-CASE16-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line125-ILMN-CASE16-M-HIOMRS		CASE16-M		local				0	24		19	WGS	single	Corrected crosswalk line 125; unit_id=ILMN-CASE16-M; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line126-ILMN-CASE17-HIOMRS		CASE17		local				0	24		19	WGS	single	Corrected crosswalk line 126; unit_id=ILMN-CASE17; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line127-ILMN-CASE18-HIOMRS		CASE18		local				0	24		19	WGS	single	Corrected crosswalk line 127; unit_id=ILMN-CASE18; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line128-ILMN-CASE19-P-HIOMRS		CASE19-P		local				0	24		19	WGS	single	Corrected crosswalk line 128; unit_id=ILMN-CASE19-P; ILMN run 16; ONT [0,24)
AU-ilmn-run16-r16-line129-ILMN-CASE19-M-HIOMRS		CASE19-M		local				0	24		19	WGS	single	Corrected crosswalk line 129; unit_id=ILMN-CASE19-M; ILMN run 16; ONT [0,24)
