SPECIMEN_ID	SPECIMEN_EUID	SAMPLESOURCE	SPECIMEN_TYPE	EXTERNAL_SPECIMEN_ID	BIOLOGICAL_SEX	N_X	N_Y	SPECIMEN_COMMENT
BUCCAL1		buccal	buccal	BUCCAL1				Corrected Bjuice validation guidance canonical specimen
BUCCAL10		buccal	buccal	BUCCAL10				Corrected Bjuice validation guidance canonical specimen
BUCCAL2		buccal	buccal	BUCCAL2				Corrected Bjuice validation guidance canonical specimen
BUCCAL3		buccal	buccal	BUCCAL3				Corrected Bjuice validation guidance canonical specimen
CASE1-F		blood	blood	CASE1-F				Corrected Bjuice validation guidance canonical specimen
CASE1-M		blood	blood	CASE1-M				Corrected Bjuice validation guidance canonical specimen
CASE1-P		blood	blood	CASE1-P				Corrected Bjuice validation guidance canonical specimen
CASE10-F		blood	blood	CASE10-F				Corrected Bjuice validation guidance canonical specimen
CASE10-M		blood	blood	CASE10-M				Corrected Bjuice validation guidance canonical specimen
CASE10-P		blood	blood	CASE10-P				Corrected Bjuice validation guidance canonical specimen
CASE11-M		blood	blood	CASE11-M				Corrected Bjuice validation guidance canonical specimen
CASE11-P		blood	blood	CASE11-P				Corrected Bjuice validation guidance canonical specimen
CASE12-M		blood	blood	CASE12-M				Corrected Bjuice validation guidance canonical specimen
CASE12-P		blood	blood	CASE12-P				Corrected Bjuice validation guidance canonical specimen
CASE13-F		blood	blood	CASE13-F				Corrected Bjuice validation guidance canonical specimen
CASE13-M		blood	blood	CASE13-M				Corrected Bjuice validation guidance canonical specimen
CASE13-P		blood	blood	CASE13-P				Corrected Bjuice validation guidance canonical specimen
CASE14-F		blood	blood	CASE14-F				Corrected Bjuice validation guidance canonical specimen
CASE14-M		blood	blood	CASE14-M				Corrected Bjuice validation guidance canonical specimen
CASE14-P		blood	blood	CASE14-P				Corrected Bjuice validation guidance canonical specimen
CASE15-P		blood	blood	CASE15-P				Corrected Bjuice validation guidance canonical specimen
CASE16-M		blood	blood	CASE16-M				Corrected Bjuice validation guidance canonical specimen
CASE16-P		blood	blood	CASE16-P				Corrected Bjuice validation guidance canonical specimen
CASE17		blood	blood	CASE17				Corrected Bjuice validation guidance canonical specimen
CASE18		blood	blood	CASE18				Corrected Bjuice validation guidance canonical specimen
CASE19-M		blood	blood	CASE19-M				Corrected Bjuice validation guidance canonical specimen
CASE19-P		blood	blood	CASE19-P				Corrected Bjuice validation guidance canonical specimen
CASE2-P		blood	blood	CASE2-P				Corrected Bjuice validation guidance canonical specimen
CASE5-F		blood	blood	CASE5-F				Corrected Bjuice validation guidance canonical specimen
CASE5-M		blood	blood	CASE5-M				Corrected Bjuice validation guidance canonical specimen
CASE5-P		blood	blood	CASE5-P				Corrected Bjuice validation guidance canonical specimen
CASE6-P		blood	blood	CASE6-P				Corrected Bjuice validation guidance canonical specimen
CASE7-F		blood	blood	CASE7-F				Corrected Bjuice validation guidance canonical specimen
CASE7-M		blood	blood	CASE7-M				Corrected Bjuice validation guidance canonical specimen
CASE7-P		blood	blood	CASE7-P				Corrected Bjuice validation guidance canonical specimen
CASE8-P		blood	blood	CASE8-P				Corrected Bjuice validation guidance canonical specimen
CASE9-M		blood	blood	CASE9-M				Corrected Bjuice validation guidance canonical specimen
CASE9-P		blood	blood	CASE9-P				Corrected Bjuice validation guidance canonical specimen
