taxid	scientific_name	category
9913	Bos taurus	mammalian_food
9823	Sus scrofa	mammalian_food
9031	Gallus gallus	avian_food
9940	Ovis aries	mammalian_food
9925	Capra hircus	mammalian_food
8030	Salmo salar	fish_food
8022	Oncorhynchus mykiss	fish_food
8049	Gadus morhua	fish_food
6689	Penaeus vannamei	invertebrate_food
29159	Crassostrea gigas	invertebrate_food
4565	Triticum aestivum	plant_food
4530	Oryza sativa	plant_food
4577	Zea mays	plant_food
3847	Glycine max	plant_food
4113	Solanum tuberosum	plant_food
4081	Solanum lycopersicum	plant_food
4641	Musa acuminata	plant_food
3750	Malus domestica	plant_food
2711	Citrus sinensis	plant_food
3818	Arachis hypogaea	plant_food
29760	Vitis vinifera	plant_food
