taxid	scientific_name	category
5833	Plasmodium falciparum	protozoan_parasite
5855	Plasmodium vivax	protozoan_parasite
5868	Babesia microti	protozoan_parasite
5811	Toxoplasma gondii	protozoan_parasite
5693	Trypanosoma cruzi	protozoan_parasite
5691	Trypanosoma brucei	protozoan_parasite
5661	Leishmania donovani	protozoan_parasite
5741	Giardia duodenalis	protozoan_parasite
5759	Entamoeba histolytica	protozoan_parasite
5807	Cryptosporidium parvum	protozoan_parasite
5722	Trichomonas vaginalis	protozoan_parasite
6183	Schistosoma mansoni	helminth
6185	Schistosoma haematobium	helminth
6248	Strongyloides stercoralis	helminth
6252	Ascaris lumbricoides	helminth
51022	Ancylostoma duodenale	helminth
51031	Necator americanus	helminth
6204	Taenia solium	helminth
6210	Echinococcus granulosus	helminth
6293	Wuchereria bancrofti	helminth
6279	Brugia malayi	helminth
6282	Onchocerca volvulus	helminth
36087	Trichuris trichiura	helminth
