availability_zone,partition,instance_type,offered,current_spot_usd_hour,median_72h_usd_hour,min_72h_usd_hour,max_72h_usd_hour,computed_bid_usd_hour,success_instances,insufficient_capacity_events,price_cap_failure_events,recommendation,reason
us-west-2a,i96nvme,c5d.24xlarge,True,1.6391,1.6593499999999999,1.6391,1.6809,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,c5d.metal,True,1.2889,1.3224,1.2889,1.3303,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,c6id.24xlarge,True,1.2384,1.32795,1.2384,1.4348,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,c8id.24xlarge,True,1.8146,1.768,1.5988,1.8298,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,i3en.24xlarge,True,4.0324,4.0543,3.8114,4.1195,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,i3en.metal,True,2.5072,2.7087,2.5072,2.9668,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,i4i.24xlarge,True,3.1191,3.1205,3.1075,3.2421,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,i7i.24xlarge,True,3.0637,3.087,3.0465,3.1229,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,i7i.metal-24xl,True,2.1107,1.9688,1.8029,2.1107,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,i7ie.24xlarge,True,3.9321,3.9557,3.7766,4.0078,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,i7ie.metal-24xl,True,3.4298,3.3758,3.3693,3.4354,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,m5d.24xlarge,True,2.2281,2.2483500000000003,2.2268,2.2742,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,m5d.metal,True,1.4511,1.3627,1.2386,1.4511,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,m5dn.24xlarge,True,2.4838,2.4825999999999997,2.4595,2.5233,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,m5dn.metal,True,1.3271,1.2289,1.1366,1.3271,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,m6id.24xlarge,True,2.1362,2.1392,2.1301,2.1846,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,m6idn.24xlarge,True,2.3797,2.3821,2.2768,2.3968,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,m8id.24xlarge,True,2.9823,2.9894,2.9768,3.0581,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,m8idb.24xlarge,True,3.2075,3.16235,3.1035,3.2075,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,m8idn.24xlarge,True,3.1624,2.9358,2.8802,3.1624,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,r5d.24xlarge,True,3.5492,3.54065,3.5111,3.5492,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,r5d.metal,True,2.3051,2.28125,2.2742,2.3051,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,r5dn.24xlarge,True,3.9392,3.8838999999999997,3.8159,3.9421,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,r5dn.metal,True,2.9767,2.9743,2.9317,3.0312,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,r6id.24xlarge,True,3.3629,3.39335,3.3519,3.5301,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,r6idn.24xlarge,True,2.9433,2.7241999999999997,2.463,2.9433,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,r8id.24xlarge,True,3.552,3.5675499999999998,3.5085,3.6012,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,r8idb.24xlarge,True,5.1133,4.776,4.4355,5.1133,5.0699,0,0,0,PRICE-GATED NOW; RETAIN,"Current price exceeds today's computed resource bid, but the condition is not a persistent global-cap breach."
us-west-2a,i96nvme,r8idn.24xlarge,True,4.6042,4.5963,4.4045,4.6594,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,x2idn.24xlarge,True,4.2923,4.086,3.941,4.2981,5.0699,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i96nvme,x2iedn.24xlarge,True,5.677,5.677,5.6037,5.7942,5.0699,0,0,0,PRICE-GATED NOW; RETAIN,"Current price exceeds today's computed resource bid, but the condition is not a persistent global-cap breach."
us-west-2a,i128nvme,i4i.32xlarge,True,4.5248,4.5461,4.3797,4.5905,7.5822,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i128nvme,i4i.metal,True,2.6406,2.4113,2.1714,2.6406,7.5822,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i128nvme,r6id.32xlarge,True,5.2061,5.2049,5.0253,5.2235,7.5822,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i128nvme,r6id.metal,True,3.7978,3.7974,3.7671,3.8508,7.5822,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
