SAMPLEID	SAMPLESOURCE	SAMPLECLASS	BIOLOGICAL_SEX	CONCORDANCE_CONTROL_PATH	IS_POSITIVE_CONTROL	IS_NEGATIVE_CONTROL	SAMPLE_TYPE	TUM_NRM_SAMPLEID_MATCH	EXTERNAL_SAMPLE_ID	N_X	N_Y	TRUTH_DATA_DIR
BUCCAL1-a	buccal	research	na	na	false	false	gdna	na	BUCCAL1-a	na	na	na
BUCCAL1-b	buccal	research	na	na	false	false	gdna	na	BUCCAL1-b	na	na	na
BUCCAL2-a	buccal	research	na	na	false	false	gdna	na	BUCCAL2-a	na	na	na
BUCCAL2-b	buccal	research	na	na	false	false	gdna	na	BUCCAL2-b	na	na	na
BUCCAL3-a	buccal	research	na	na	false	false	gdna	na	BUCCAL3-a	na	na	na
BUCCAL3-b	buccal	research	na	na	false	false	gdna	na	BUCCAL3-b	na	na	na
BUCCAL4-a	buccal	research	na	na	false	false	gdna	na	BUCCAL4-a	na	na	na
BUCCAL5-a	buccal	research	na	na	false	false	gdna	na	BUCCAL5-a	na	na	na
BUCCAL6-a	buccal	research	na	na	false	false	gdna	na	BUCCAL6-a	na	na	na
BUCCAL7-a	buccal	research	na	na	false	false	gdna	na	BUCCAL7-a	na	na	na
BUCCAL8-a	buccal	research	na	na	false	false	gdna	na	BUCCAL8-a	na	na	na
BUCCAL9-a	buccal	research	na	na	false	false	gdna	na	BUCCAL9-a	na	na	na
HG001-a	blood	research	female	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG001/	true	false	gdna	na	HG001	2	0	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG001/
HG001-b	blood	research	female	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG001/	true	false	gdna	na	HG001	2	0	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG001/
HG001-c	blood	research	female	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG001/	true	false	gdna	na	HG001	2	0	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG001/
HG002-a	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG002/	true	false	gdna	na	HG002	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG002/
HG002-b	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG002/	true	false	gdna	na	HG002	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG002/
HG002-c	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG002/	true	false	gdna	na	HG002	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG002/
HG003-a	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	true	false	gdna	na	HG003	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/
HG003-b	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	true	false	gdna	na	HG003	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/
HG003-c	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	true	false	gdna	na	HG003	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/
HG004-a	blood	research	female	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG004/	true	false	gdna	na	HG004	2	0	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG004/
HG004-b	blood	research	female	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG004/	true	false	gdna	na	HG004	2	0	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG004/
HG004-c	blood	research	female	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG004/	true	false	gdna	na	HG004	2	0	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG004/
HG005-a	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG005/	true	false	gdna	na	HG005	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG005/
HG005-b	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG005/	true	false	gdna	na	HG005	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG005/
HG005-c	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG005/	true	false	gdna	na	HG005	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG005/
HG006-a	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG006/	true	false	gdna	na	HG006	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG006/
HG006-b	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG006/	true	false	gdna	na	HG006	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG006/
HG006-c	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG006/	true	false	gdna	na	HG006	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG006/
HG007-a	blood	research	female	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG007/	true	false	gdna	na	HG007	2	0	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG007/
HG007-b	blood	research	female	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG007/	true	false	gdna	na	HG007	2	0	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG007/
HG007-c	blood	research	female	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG007/	true	false	gdna	na	HG007	2	0	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG007/
NA05115-a	unknown	research	na	na	false	false	gdna	na	NA05115-a	na	na	na
NA05212-a	unknown	research	na	na	false	false	gdna	na	NA05212-a	na	na	na
NA07439-a	unknown	research	na	na	false	false	gdna	na	NA07439-a	na	na	na
NA09216-a	unknown	research	na	na	false	false	gdna	na	NA09216-a	na	na	na
NA15849-a	unknown	research	na	na	false	false	gdna	na	NA15849-a	na	na	na
NA20208-a	unknown	research	na	na	false	false	gdna	na	NA20208-a	na	na	na
NA20241-a	unknown	research	na	na	false	false	gdna	na	NA20241-a	na	na	na
