chrom	length	bases	mean	min	max
chr1	248956422	782508777	3.14	0	2844
chr1_region	248956422	782508777	3.14	0	2844
chr2	242193529	757107640	3.13	0	178
chr2_region	242193529	757107640	3.13	0	178
chr3	198295559	615467504	3.10	0	193
chr3_region	198295559	615467504	3.10	0	193
chr4	190214555	593341411	3.12	0	1134
chr4_region	190214555	593341411	3.12	0	1134
chr5	181538259	562644645	3.10	0	306
chr5_region	181538259	562644645	3.10	0	306
chr6	170805979	529935229	3.10	0	32
chr6_region	170805979	529935229	3.10	0	32
chr7	159345973	490148493	3.08	0	109
chr7_region	159345973	490148493	3.08	0	109
chr8	145138636	450217485	3.10	0	120
chr8_region	145138636	450217485	3.10	0	120
chr9	138394717	371916703	2.69	0	54
chr9_region	138394717	371916703	2.69	0	54
chr10	133797422	421841702	3.15	0	210
chr10_region	133797422	421841702	3.15	0	210
chr11	135086622	414939529	3.07	0	40
chr11_region	135086622	414939529	3.07	0	40
chr12	133275309	411990254	3.09	0	41
chr12_region	133275309	411990254	3.09	0	41
chr13	114364328	303454507	2.65	0	108
chr13_region	114364328	303454507	2.65	0	108
chr14	107043718	283894757	2.65	0	20
chr14_region	107043718	283894757	2.65	0	20
chr15	101991189	262735086	2.58	0	25
chr15_region	101991189	262735086	2.58	0	25
chr16	90338345	301576971	3.34	0	3012
chr16_region	90338345	301576971	3.34	0	3012
chr17	83257441	262239483	3.15	0	92
chr17_region	83257441	262239483	3.15	0	92
chr18	80373285	237246616	2.95	0	80
chr18_region	80373285	237246616	2.95	0	80
chr19	58617616	185683440	3.17	0	60
chr19_region	58617616	185683440	3.17	0	60
chr20	64444167	208929733	3.24	0	180
chr20_region	64444167	208929733	3.24	0	180
chr21	46709983	140988455	3.02	0	640
chr21_region	46709983	140988455	3.02	0	640
chr22	50818468	126156383	2.48	0	27
chr22_region	50818468	126156383	2.48	0	27
chrX	156040895	240149487	1.54	0	21
chrX_region	3100992	8355823	2.69	0	14
chrY	57227415	78164235	1.37	0	1456
chrY_region	0	0	0.00	0	0
chrM	16569	6348986	383.18	309	419
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	680037	3.88	0	12
chr1_KI270706v1_random_region	175055	680037	3.88	0	12
chr1_KI270707v1_random	32032	41319	1.29	0	3
chr1_KI270707v1_random_region	32032	41319	1.29	0	3
chr1_KI270708v1_random	127682	275417	2.16	0	6
chr1_KI270708v1_random_region	127682	275417	2.16	0	6
chr1_KI270709v1_random	66860	6836063	102.24	0	614
chr1_KI270709v1_random_region	66860	6836063	102.24	0	614
chr1_KI270710v1_random	40176	78219	1.95	0	5
chr1_KI270710v1_random_region	40176	78219	1.95	0	5
chr1_KI270711v1_random	42210	180148	4.27	1	12
chr1_KI270711v1_random_region	42210	180148	4.27	1	12
chr1_KI270712v1_random	176043	403431	2.29	0	18
chr1_KI270712v1_random_region	176043	403431	2.29	0	18
chr1_KI270713v1_random	40745	245353	6.02	0	14
chr1_KI270713v1_random_region	40745	245353	6.02	0	14
chr1_KI270714v1_random	41717	137881	3.31	0	9
chr1_KI270714v1_random_region	41717	137881	3.31	0	9
chr2_KI270715v1_random	161471	306064	1.90	0	7
chr2_KI270715v1_random_region	161471	306064	1.90	0	7
chr2_KI270716v1_random	153799	186618	1.21	0	9
