chrom	length	bases	mean	min	max
chr1	248956422	3733334289	15.00	0	50254
chr1_region	248956422	3733334289	15.00	0	50254
chr2	242193529	2702194594	11.16	0	766700
chr2_region	242193529	2702194594	11.16	0	766700
chr3	198295559	2082308042	10.50	0	111244
chr3_region	198295559	2082308042	10.50	0	111244
chr4	190214555	2187386609	11.50	0	98018
chr4_region	190214555	2187386609	11.50	0	98018
chr5	181538259	2020327936	11.13	0	109527
chr5_region	181538259	2020327936	11.13	0	109527
chr6	170805979	1930401399	11.30	0	13461
chr6_region	170805979	1930401399	11.30	0	13461
chr7	159345973	2073434274	13.01	0	7962
chr7_region	159345973	2073434274	13.01	0	7962
chr8	145138636	1524303133	10.50	0	2592
chr8_region	145138636	1524303133	10.50	0	2592
chr9	138394717	1667228257	12.05	0	7539
chr9_region	138394717	1667228257	12.05	0	7539
chr10	133797422	1691971348	12.65	0	102915
chr10_region	133797422	1691971348	12.65	0	102915
chr11	135086622	1557683241	11.53	0	1529
chr11_region	135086622	1557683241	11.53	0	1529
chr12	133275309	1550698161	11.64	0	2122
chr12_region	133275309	1550698161	11.64	0	2122
chr13	114364328	1222938159	10.69	0	64330
chr13_region	114364328	1222938159	10.69	0	64330
chr14	107043718	983283232	9.19	0	5329
chr14_region	107043718	983283232	9.19	0	5329
chr15	101991189	1154148972	11.32	0	2263
chr15_region	101991189	1154148972	11.32	0	2263
chr16	90338345	1466678953	16.24	0	29103
chr16_region	90338345	1466678953	16.24	0	29103
chr17	83257441	1402442359	16.84	0	42280
chr17_region	83257441	1402442359	16.84	0	42280
chr18	80373285	928329054	11.55	0	36976
chr18_region	80373285	928329054	11.55	0	36976
chr19	58617616	1046916112	17.86	0	2723
chr19_region	58617616	1046916112	17.86	0	2723
chr20	64444167	959360393	14.89	0	13566
chr20_region	64444167	959360393	14.89	0	13566
chr21	46709983	985156320	21.09	0	47487
chr21_region	46709983	985156320	21.09	0	47487
chr22	50818468	747264210	14.70	0	28528
chr22_region	50818468	747264210	14.70	0	28528
chrX	156040895	1093718749	7.01	0	5634
chrX_region	3100992	70305662	22.67	0	4094
chrY	57227415	901740670	15.76	0	53371
chrY_region	0	0	0.00	0	0
chrM	16569	310704992	18752.19	0	22243
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	9602721	54.86	0	385
chr1_KI270706v1_random_region	175055	9602721	54.86	0	385
chr1_KI270707v1_random	32032	1557748	48.63	0	111
chr1_KI270707v1_random_region	32032	1557748	48.63	0	111
chr1_KI270708v1_random	127682	3474067	27.21	0	210
chr1_KI270708v1_random_region	127682	3474067	27.21	0	210
chr1_KI270709v1_random	66860	55607888	831.71	0	10959
chr1_KI270709v1_random_region	66860	55607888	831.71	0	10959
chr1_KI270710v1_random	40176	2442488	60.79	0	188
chr1_KI270710v1_random_region	40176	2442488	60.79	0	188
chr1_KI270711v1_random	42210	4081496	96.70	0	427
chr1_KI270711v1_random_region	42210	4081496	96.70	0	427
chr1_KI270712v1_random	176043	6816419	38.72	0	892
chr1_KI270712v1_random_region	176043	6816419	38.72	0	892
chr1_KI270713v1_random	40745	3600855	88.38	2	205
chr1_KI270713v1_random_region	40745	3600855	88.38	2	205
chr1_KI270714v1_random	41717	2039686	48.89	0	107
chr1_KI270714v1_random_region	41717	2039686	48.89	0	107
chr2_KI270715v1_random	161471	7263577	44.98	0	341
chr2_KI270715v1_random_region	161471	7263577	44.98	0	341
chr2_KI270716v1_random	153799	5944956	38.65	0	617
chr2_KI270716v1_random_region	153799	5944956	38.65	0	617
chr3_GL000221v1_random	155397	14195338	91.35	0	250
chr3_GL000221v1_random_region	155397	14195338	91.35	0	250
chr4_GL000008v2_random	209709	20165641	96.16	1	2911
chr4_GL000008v2_random_region	209709	20165641	96.16	1	2911
chr5_GL000208v1_random	92689	7352467	79.32	0	604
chr5_GL000208v1_random_region	92689	7352467	79.32	0	604
chr9_KI270717v1_random	40062	1331154	33.23	0	70
chr9_KI270717v1_random_region	40062	1331154	33.23	0	70
chr9_KI270718v1_random	38054	2501595	65.74	0	502
chr9_KI270718v1_random_region	38054	2501595	65.74	0	502
chr9_KI270719v1_random	176845	13764828	77.84	0	493
chr9_KI270719v1_random_region	176845	13764828	77.84	0	493
chr9_KI270720v1_random	39050	2527255	64.72	4	261
chr9_KI270720v1_random_region	39050	2527255	64.72	4	261
chr11_KI270721v1_random	100316	2884016	28.75	0	73
chr11_KI270721v1_random_region	100316	2884016	28.75	0	73
chr14_GL000009v2_random	201709	26232047	130.05	1	360
chr14_GL000009v2_random_region	201709	26232047	130.05	1	360
chr14_GL000225v1_random	211173	90481421	428.47	0	18400
chr14_GL000225v1_random_region	211173	90481421	428.47	0	18400
chr14_KI270722v1_random	194050	8518132	43.90	0	146
chr14_KI270722v1_random_region	194050	8518132	43.90	0	146
chr14_GL000194v1_random	191469	24925034	130.18	0	334
chr14_GL000194v1_random_region	191469	24925034	130.18	0	334
chr14_KI270723v1_random	38115	5344481	140.22	2	3024
chr14_KI270723v1_random_region	38115	5344481	140.22	2	3024
chr14_KI270724v1_random	39555	4547145	114.96	1	2400
chr14_KI270724v1_random_region	39555	4547145	114.96	1	2400
chr14_KI270725v1_random	172810	10077963	58.32	0	240
chr14_KI270725v1_random_region	172810	10077963	58.32	0	240
chr14_KI270726v1_random	43739	5662	0.13	0	4
chr14_KI270726v1_random_region	43739	5662	0.13	0	4
chr15_KI270727v1_random	448248	6512682	14.53	0	125
chr15_KI270727v1_random_region	448248	6512682	14.53	0	125
chr16_KI270728v1_random	1872759	41270460	22.04	0	774
chr16_KI270728v1_random_region	1872759	41270460	22.04	0	774
chr17_GL000205v2_random	185591	20341889	109.61	0	971
chr17_GL000205v2_random_region	185591	20341889	109.61	0	971
chr17_KI270729v1_random	280839	61898402	220.41	0	138721
chr17_KI270729v1_random_region	280839	61898402	220.41	0	138721
chr17_KI270730v1_random	112551	10059857	89.38	0	2327
chr17_KI270730v1_random_region	112551	10059857	89.38	0	2327
chr22_KI270731v1_random	150754	7815364	51.84	0	4016
chr22_KI270731v1_random_region	150754	7815364	51.84	0	4016
chr22_KI270732v1_random	41543	6124399	147.42	2	275
chr22_KI270732v1_random_region	41543	6124399	147.42	2	275
chr22_KI270733v1_random	179772	143209167	796.62	0	8000
chr22_KI270733v1_random_region	179772	143209167	796.62	0	8000
chr22_KI270734v1_random	165050	14873359	90.11	0	19207
chr22_KI270734v1_random_region	165050	14873359	90.11	0	19207
chr22_KI270735v1_random	42811	11078357	258.77	32	15018
chr22_KI270735v1_random_region	42811	11078357	258.77	32	15018
chr22_KI270736v1_random	181920	20523906	112.82	0	4843
chr22_KI270736v1_random_region	181920	20523906	112.82	0	4843
chr22_KI270737v1_random	103838	6509696	62.69	0	12907
chr22_KI270737v1_random_region	103838	6509696	62.69	0	12907
chr22_KI270738v1_random	99375	5592833	56.28	0	219
chr22_KI270738v1_random_region	99375	5592833	56.28	0	219
chr22_KI270739v1_random	73985	1745175	23.59	0	119
chr22_KI270739v1_random_region	73985	1745175	23.59	0	119
chrY_KI270740v1_random	37240	824000	22.13	0	68
chrY_KI270740v1_random_region	0	0	0.00	0	0
chrUn_KI270302v1	2274	69844	30.71	0	97
