chrom	length	bases	mean	min	max
chr1	248956422	1082284173	4.35	0	3895
chr1_region	248956422	1082284173	4.35	0	3895
chr2	242193529	1047674242	4.33	0	247
chr2_region	242193529	1047674242	4.33	0	247
chr3	198295559	851531971	4.29	0	262
chr3_region	198295559	851531971	4.29	0	262
chr4	190214555	819819514	4.31	0	1556
chr4_region	190214555	819819514	4.31	0	1556
chr5	181538259	777151958	4.28	0	450
chr5_region	181538259	777151958	4.28	0	450
chr6	170805979	735701818	4.31	0	57
chr6_region	170805979	735701818	4.31	0	57
chr7	159345973	677514666	4.25	0	136
chr7_region	159345973	677514666	4.25	0	136
chr8	145138636	625381556	4.31	0	160
chr8_region	145138636	625381556	4.31	0	160
chr9	138394717	515786679	3.73	0	75
chr9_region	138394717	515786679	3.73	0	75
chr10	133797422	584270925	4.37	0	298
chr10_region	133797422	584270925	4.37	0	298
chr11	135086622	573841666	4.25	0	64
chr11_region	135086622	573841666	4.25	0	64
chr12	133275309	571875431	4.29	0	46
chr12_region	133275309	571875431	4.29	0	46
chr13	114364328	420783861	3.68	0	157
chr13_region	114364328	420783861	3.68	0	157
chr14	107043718	393236693	3.67	0	33
chr14_region	107043718	393236693	3.67	0	33
chr15	101991189	363610697	3.57	0	33
chr15_region	101991189	363610697	3.57	0	33
chr16	90338345	419476638	4.64	0	4160
chr16_region	90338345	419476638	4.64	0	4160
chr17	83257441	361358017	4.34	0	127
chr17_region	83257441	361358017	4.34	0	127
chr18	80373285	329138568	4.10	0	102
chr18_region	80373285	329138568	4.10	0	102
chr19	58617616	256940147	4.38	0	85
chr19_region	58617616	256940147	4.38	0	85
chr20	64444167	288315364	4.47	0	224
chr20_region	64444167	288315364	4.47	0	224
chr21	46709983	194383014	4.16	0	861
chr21_region	46709983	194383014	4.16	0	861
chr22	50818468	173589116	3.42	0	34
chr22_region	50818468	173589116	3.42	0	34
chrX	156040895	331456884	2.12	0	30
chrX_region	3100992	11528056	3.72	0	19
chrY	57227415	109209666	1.91	0	2053
chrY_region	0	0	0.00	0	0
chrM	16569	8316298	501.92	406	542
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	850174	4.86	0	14
chr1_KI270706v1_random_region	175055	850174	4.86	0	14
chr1_KI270707v1_random	32032	70917	2.21	0	5
chr1_KI270707v1_random_region	32032	70917	2.21	0	5
chr1_KI270708v1_random	127682	375726	2.94	0	11
chr1_KI270708v1_random_region	127682	375726	2.94	0	11
