chrom	length	bases	mean	min	max
chr1	248956422	4060077478	16.31	0	48067
chr1_region	248956422	4060077478	16.31	0	48067
chr2	242193529	3009812770	12.43	0	854606
chr2_region	242193529	3009812770	12.43	0	854606
chr3	198295559	2336331884	11.78	0	110651
chr3_region	198295559	2336331884	11.78	0	110651
chr4	190214555	2419451852	12.72	0	98016
chr4_region	190214555	2419451852	12.72	0	98016
chr5	181538259	2235393199	12.31	0	109496
chr5_region	181538259	2235393199	12.31	0	109496
chr6	170805979	2159420143	12.64	0	12861
chr6_region	170805979	2159420143	12.64	0	12861
chr7	159345973	2323481701	14.58	0	7961
chr7_region	159345973	2323481701	14.58	0	7961
chr8	145138636	1698985393	11.71	0	2592
chr8_region	145138636	1698985393	11.71	0	2592
chr9	138394717	1827715483	13.21	0	7538
chr9_region	138394717	1827715483	13.21	0	7538
chr10	133797422	1886587980	14.10	0	102885
chr10_region	133797422	1886587980	14.10	0	102885
chr11	135086622	1755624228	13.00	0	1533
chr11_region	135086622	1755624228	13.00	0	1533
chr12	133275309	1757311894	13.19	0	2122
chr12_region	133275309	1757311894	13.19	0	2122
chr13	114364328	1344153180	11.75	0	64930
chr13_region	114364328	1344153180	11.75	0	64930
chr14	107043718	1118526555	10.45	0	5324
chr14_region	107043718	1118526555	10.45	0	5324
chr15	101991189	1274007431	12.49	0	2261
chr15_region	101991189	1274007431	12.49	0	2261
chr16	90338345	1584431525	17.54	0	28896
chr16_region	90338345	1584431525	17.54	0	28896
chr17	83257441	1600341393	19.22	0	42284
chr17_region	83257441	1600341393	19.22	0	42284
chr18	80373285	1021073131	12.70	0	36979
chr18_region	80373285	1021073131	12.70	0	36979
chr19	58617616	1211253900	20.66	0	2723
chr19_region	58617616	1211253900	20.66	0	2723
chr20	64444167	1053139617	16.34	0	13562
chr20_region	64444167	1053139617	16.34	0	13562
chr21	46709983	1033555276	22.13	0	47488
chr21_region	46709983	1033555276	22.13	0	47488
chr22	50818468	826821416	16.27	0	28560
chr22_region	50818468	826821416	16.27	0	28560
chrX	156040895	1217239867	7.80	0	5634
chrX_region	3100992	78586183	25.34	0	4176
chrY	57227415	912004782	15.94	0	53370
chrY_region	0	0	0.00	0	0
chrM	16569	309292480	18666.94	0	22244
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	9599063	54.83	0	361
chr1_KI270706v1_random_region	175055	9599063	54.83	0	361
chr1_KI270707v1_random	32032	1555978	48.58	0	121
chr1_KI270707v1_random_region	32032	1555978	48.58	0	121
chr1_KI270708v1_random	127682	3324482	26.04	0	208
chr1_KI270708v1_random_region	127682	3324482	26.04	0	208
chr1_KI270709v1_random	66860	53094480	794.11	0	11379
chr1_KI270709v1_random_region	66860	53094480	794.11	0	11379
chr1_KI270710v1_random	40176	2483384	61.81	0	155
chr1_KI270710v1_random_region	40176	2483384	61.81	0	155
chr1_KI270711v1_random	42210	3898961	92.37	0	305
chr1_KI270711v1_random_region	42210	3898961	92.37	0	305
chr1_KI270712v1_random	176043	6717758	38.16	0	853
chr1_KI270712v1_random_region	176043	6717758	38.16	0	853
