chrom	length	bases	mean	min	max
chr1	248956422	300808750	1.21	0	5732
chr1_region	248956422	300808750	1.21	0	5732
chr2	242193529	215116394	0.89	0	60990
chr2_region	242193529	215116394	0.89	0	60990
chr3	198295559	178027989	0.90	0	37329
chr3_region	198295559	178027989	0.90	0	37329
chr4	190214555	177571909	0.93	0	9809
chr4_region	190214555	177571909	0.93	0	9809
chr5	181538259	161175966	0.89	0	8852
chr5_region	181538259	161175966	0.89	0	8852
chr6	170805979	155704298	0.91	0	1242
chr6_region	170805979	155704298	0.91	0	1242
chr7	159345973	166255075	1.04	0	658
chr7_region	159345973	166255075	1.04	0	658
chr8	145138636	120389125	0.83	0	204
chr8_region	145138636	120389125	0.83	0	204
chr9	138394717	130894498	0.95	0	608
chr9_region	138394717	130894498	0.95	0	608
chr10	133797422	136389716	1.02	0	8506
chr10_region	133797422	136389716	1.02	0	8506
chr11	135086622	126377403	0.94	0	138
chr11_region	135086622	126377403	0.94	0	138
chr12	133275309	124536188	0.93	0	143
chr12_region	133275309	124536188	0.93	0	143
chr13	114364328	99413075	0.87	0	7837
chr13_region	114364328	99413075	0.87	0	7837
chr14	107043718	79549505	0.74	0	388
chr14_region	107043718	79549505	0.74	0	388
chr15	101991189	91001883	0.89	0	170
chr15_region	101991189	91001883	0.89	0	170
chr16	90338345	116258961	1.29	0	2927
chr16_region	90338345	116258961	1.29	0	2927
chr17	83257441	106968385	1.28	0	3652
chr17_region	83257441	106968385	1.28	0	3652
chr18	80373285	72840158	0.91	0	3170
chr18_region	80373285	72840158	0.91	0	3170
chr19	58617616	83027822	1.42	0	142
chr19_region	58617616	83027822	1.42	0	142
chr20	64444167	74838718	1.16	0	1018
chr20_region	64444167	74838718	1.16	0	1018
chr21	46709983	75660635	1.62	0	4304
chr21_region	46709983	75660635	1.62	0	4304
chr22	50818468	58727393	1.16	0	2731
chr22_region	50818468	58727393	1.16	0	2731
chrX	156040895	82731630	0.53	0	600
chrX_region	3100992	5297860	1.71	0	404
chrY	57227415	65660999	1.15	0	5467
chrY_region	0	0	0.00	0	0
chrM	16569	20830849	1257.22	0	1914
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	719333	4.11	0	36
chr1_KI270706v1_random_region	175055	719333	4.11	0	36
chr1_KI270707v1_random	32032	130392	4.07	0	16
