chrom	length	bases	mean	min	max
chr1	248956422	304887424	1.22	0	1133
chr1_region	248956422	304887424	1.22	0	1133
chr2	242193529	298603296	1.23	0	67
chr2_region	242193529	298603296	1.23	0	67
chr3	198295559	239125514	1.21	0	89
chr3_region	198295559	239125514	1.21	0	89
chr4	190214555	233590503	1.23	0	443
chr4_region	190214555	233590503	1.23	0	443
chr5	181538259	221245579	1.22	0	93
chr5_region	181538259	221245579	1.22	0	93
chr6	170805979	209272696	1.23	0	12
chr6_region	170805979	209272696	1.23	0	12
chr7	159345973	191823747	1.20	0	37
chr7_region	159345973	191823747	1.20	0	37
chr8	145138636	176480865	1.22	0	46
chr8_region	145138636	176480865	1.22	0	46
chr9	138394717	145163260	1.05	0	21
chr9_region	138394717	145163260	1.05	0	21
chr10	133797422	166133042	1.24	0	80
chr10_region	133797422	166133042	1.24	0	80
chr11	135086622	162471588	1.20	0	17
chr11_region	135086622	162471588	1.20	0	17
chr12	133275309	159246434	1.19	0	25
chr12_region	133275309	159246434	1.19	0	25
chr13	114364328	120960072	1.06	0	47
chr13_region	114364328	120960072	1.06	0	47
chr14	107043718	110736556	1.03	0	11
chr14_region	107043718	110736556	1.03	0	11
chr15	101991189	102752092	1.01	0	12
chr15_region	101991189	102752092	1.01	0	12
chr16	90338345	117091505	1.30	0	1222
chr16_region	90338345	117091505	1.30	0	1222
chr17	83257441	103272594	1.24	0	41
chr17_region	83257441	103272594	1.24	0	41
chr18	80373285	93002188	1.16	0	27
chr18_region	80373285	93002188	1.16	0	27
chr19	58617616	72535841	1.24	0	19
chr19_region	58617616	72535841	1.24	0	19
chr20	64444167	82829103	1.29	0	86
chr20_region	64444167	82829103	1.29	0	86
chr21	46709983	54482520	1.17	0	252
chr21_region	46709983	54482520	1.17	0	252
chr22	50818468	48840016	0.96	0	16
chr22_region	50818468	48840016	0.96	0	16
chrX	156040895	94536415	0.61	0	8
chrX_region	3100992	3231761	1.04	0	6
chrY	57227415	31115804	0.54	0	586
chrY_region	0	0	0.00	0	0
chrM	16569	2666198	160.91	140	180
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	230525	1.32	0	6
chr1_KI270706v1_random_region	175055	230525	1.32	0	6
chr1_KI270707v1_random	32032	19605	0.61	0	2
chr1_KI270707v1_random_region	32032	19605	0.61	0	2
chr1_KI270708v1_random	127682	128667	1.01	0	2
chr1_KI270708v1_random_region	127682	128667	1.01	0	2
chr1_KI270709v1_random	66860	2622611	39.23	0	231
chr1_KI270709v1_random_region	66860	2622611	39.23	0	231
chr1_KI270710v1_random	40176	48748	1.21	0	5
chr1_KI270710v1_random_region	40176	48748	1.21	0	5
chr1_KI270711v1_random	42210	69571	1.65	0	6
chr1_KI270711v1_random_region	42210	69571	1.65	0	6
chr1_KI270712v1_random	176043	196643	1.12	0	14
chr1_KI270712v1_random_region	176043	196643	1.12	0	14
chr1_KI270713v1_random	40745	30981	0.76	0	2
chr1_KI270713v1_random_region	40745	30981	0.76	0	2
chr1_KI270714v1_random	41717	52665	1.26	0	4
chr1_KI270714v1_random_region	41717	52665	1.26	0	4
chr2_KI270715v1_random	161471	122587	0.76	0	3
chr2_KI270715v1_random_region	161471	122587	0.76	0	3
chr2_KI270716v1_random	153799	63956	0.42	0	4
chr2_KI270716v1_random_region	153799	63956	0.42	0	4
chr3_GL000221v1_random	155397	308873	1.99	0	8
chr3_GL000221v1_random_region	155397	308873	1.99	0	8
chr4_GL000008v2_random	209709	644525	3.07	0	45
chr4_GL000008v2_random_region	209709	644525	3.07	0	45
chr5_GL000208v1_random	92689	142400	1.54	0	11
chr5_GL000208v1_random_region	92689	142400	1.54	0	11
chr9_KI270717v1_random	40062	33429	0.83	0	2
chr9_KI270717v1_random_region	40062	33429	0.83	0	2
chr9_KI270718v1_random	38054	98678	2.59	0	8
chr9_KI270718v1_random_region	38054	98678	2.59	0	8
chr9_KI270719v1_random	176845	266882	1.51	0	7
chr9_KI270719v1_random_region	176845	266882	1.51	0	7
chr9_KI270720v1_random	39050	59526	1.52	0	4
chr9_KI270720v1_random_region	39050	59526	1.52	0	4
chr11_KI270721v1_random	100316	116901	1.17	0	7
chr11_KI270721v1_random_region	100316	116901	1.17	0	7
chr14_GL000009v2_random	201709	756557	3.75	0	13
chr14_GL000009v2_random_region	201709	756557	3.75	0	13
chr14_GL000225v1_random	211173	3257295	15.42	0	75
chr14_GL000225v1_random_region	211173	3257295	15.42	0	75
chr14_KI270722v1_random	194050	184496	0.95	0	4
chr14_KI270722v1_random_region	194050	184496	0.95	0	4
chr14_GL000194v1_random	191469	568299	2.97	0	10
chr14_GL000194v1_random_region	191469	568299	2.97	0	10
chr14_KI270723v1_random	38115	66893	1.76	0	5
chr14_KI270723v1_random_region	38115	66893	1.76	0	5
chr14_KI270724v1_random	39555	108133	2.73	0	9
chr14_KI270724v1_random_region	39555	108133	2.73	0	9
chr14_KI270725v1_random	172810	208043	1.20	0	8
chr14_KI270725v1_random_region	172810	208043	1.20	0	8
chr14_KI270726v1_random	43739	0	0.00	0	0
chr14_KI270726v1_random_region	43739	0	0.00	0	0
chr15_KI270727v1_random	448248	157600	0.35	0	4
chr15_KI270727v1_random_region	448248	157600	0.35	0	4
chr16_KI270728v1_random	1872759	816514	0.44	0	9
chr16_KI270728v1_random_region	1872759	816514	0.44	0	9
chr17_GL000205v2_random	185591	730985	3.94	0	15
chr17_GL000205v2_random_region	185591	730985	3.94	0	15
chr17_KI270729v1_random	280839	983527	3.50	0	106
chr17_KI270729v1_random_region	280839	983527	3.50	0	106
chr17_KI270730v1_random	112551	140401	1.25	0	14
chr17_KI270730v1_random_region	112551	140401	1.25	0	14
chr22_KI270731v1_random	150754	187986	1.25	0	6
chr22_KI270731v1_random_region	150754	187986	1.25	0	6
chr22_KI270732v1_random	41543	197793	4.76	1	10
chr22_KI270732v1_random_region	41543	197793	4.76	1	10
chr22_KI270733v1_random	179772	4828152	26.86	0	118
chr22_KI270733v1_random_region	179772	4828152	26.86	0	118
chr22_KI270734v1_random	165050	184501	1.12	0	5
chr22_KI270734v1_random_region	165050	184501	1.12	0	5
chr22_KI270735v1_random	42811	162511	3.80	0	8
chr22_KI270735v1_random_region	42811	162511	3.80	0	8
chr22_KI270736v1_random	181920	315994	1.74	0	27
chr22_KI270736v1_random_region	181920	315994	1.74	0	27
chr22_KI270737v1_random	103838	39470	0.38	0	2
chr22_KI270737v1_random_region	103838	39470	0.38	0	2
chr22_KI270738v1_random	99375	117874	1.19	0	6
