chrom	length	bases	mean	min	max
chr1	248956422	1459575817	5.86	0	22728
chr1_region	248956422	1459575817	5.86	0	22728
chr2	242193529	1057029860	4.36	0	290399
chr2_region	242193529	1057029860	4.36	0	290399
chr3	198295559	837354020	4.22	0	87072
chr3_region	198295559	837354020	4.22	0	87072
chr4	190214555	860761933	4.53	0	42149
chr4_region	190214555	860761933	4.53	0	42149
chr5	181538259	790581156	4.35	0	41537
chr5_region	181538259	790581156	4.35	0	41537
chr6	170805979	758221430	4.44	0	5417
chr6_region	170805979	758221430	4.44	0	5417
chr7	159345973	812339068	5.10	0	3078
chr7_region	159345973	812339068	5.10	0	3078
chr8	145138636	592749577	4.08	0	962
chr8_region	145138636	592749577	4.08	0	962
chr9	138394717	644014715	4.65	0	2816
chr9_region	138394717	644014715	4.65	0	2816
chr10	133797422	663681310	4.96	0	40011
chr10_region	133797422	663681310	4.96	0	40011
chr11	135086622	617476536	4.57	0	597
chr11_region	135086622	617476536	4.57	0	597
chr12	133275309	611220713	4.59	0	746
chr12_region	133275309	611220713	4.59	0	746
chr13	114364328	480230889	4.20	0	31628
chr13_region	114364328	480230889	4.20	0	31628
chr14	107043718	388356429	3.63	0	1887
chr14_region	107043718	388356429	3.63	0	1887
chr15	101991189	447102849	4.38	0	855
chr15_region	101991189	447102849	4.38	0	855
chr16	90338345	569806248	6.31	0	12439
chr16_region	90338345	569806248	6.31	0	12439
chr17	83257441	551069025	6.62	0	16867
chr17_region	83257441	551069025	6.62	0	16867
chr18	80373285	360249394	4.48	0	14700
chr18_region	80373285	360249394	4.48	0	14700
chr19	58617616	414839809	7.08	0	1044
chr19_region	58617616	414839809	7.08	0	1044
chr20	64444167	369406029	5.73	0	5149
chr20_region	64444167	369406029	5.73	0	5149
chr21	46709983	367549041	7.87	0	19940
chr21_region	46709983	367549041	7.87	0	19940
chr22	50818468	289978633	5.71	0	12175
chr22_region	50818468	289978633	5.71	0	12175
chrX	156040895	431096445	2.76	0	2577
chrX_region	3100992	26972331	8.70	0	1696
chrY	57227415	331536215	5.79	0	23073
chrY_region	0	0	0.00	0	0
chrM	16569	116154113	7010.33	0	8773
chrM_region	0	0	0.00	0	0
