chrom	length	bases	mean	min	max
chr1	248956422	3014795285	12.11	0	10479
chr1_region	248956422	3014795285	12.11	0	10479
chr2	242193529	2919782130	12.06	0	711
chr2_region	242193529	2919782130	12.06	0	711
chr3	198295559	2381343078	12.01	0	704
chr3_region	198295559	2381343078	12.01	0	704
chr4	190214555	2288833842	12.03	0	4459
chr4_region	190214555	2288833842	12.03	0	4459
chr5	181538259	2162615186	11.91	0	1319
chr5_region	181538259	2162615186	11.91	0	1319
chr6	170805979	2055102679	12.03	0	144
chr6_region	170805979	2055102679	12.03	0	144
chr7	159345973	1895425555	11.90	0	383
chr7_region	159345973	1895425555	11.90	0	383
chr8	145138636	1743638038	12.01	0	473
chr8_region	145138636	1743638038	12.01	0	473
chr9	138394717	1447532593	10.46	0	182
chr9_region	138394717	1447532593	10.46	0	182
chr10	133797422	1639212661	12.25	0	885
chr10_region	133797422	1639212661	12.25	0	885
chr11	135086622	1604590893	11.88	0	264
chr11_region	135086622	1604590893	11.88	0	264
chr12	133275309	1600557933	12.01	0	99
chr12_region	133275309	1600557933	12.01	0	99
chr13	114364328	1171338145	10.24	0	423
chr13_region	114364328	1171338145	10.24	0	423
chr14	107043718	1090581369	10.19	0	70
chr14_region	107043718	1090581369	10.19	0	70
chr15	101991189	1012387346	9.93	0	87
chr15_region	101991189	1012387346	9.93	0	87
chr16	90338345	1166013699	12.91	0	11244
chr16_region	90338345	1166013699	12.91	0	11244
chr17	83257441	1008915706	12.12	0	372
chr17_region	83257441	1008915706	12.12	0	372
chr18	80373285	916122187	11.40	0	271
chr18_region	80373285	916122187	11.40	0	271
chr19	58617616	719242533	12.27	0	226
chr19_region	58617616	719242533	12.27	0	226
chr20	64444167	806645916	12.52	0	681
chr20_region	64444167	806645916	12.52	0	681
chr21	46709983	551047682	11.80	0	2403
chr21_region	46709983	551047682	11.80	0	2403
chr22	50818468	489125820	9.62	0	98
chr22_region	50818468	489125820	9.62	0	98
chrX	156040895	924024025	5.92	0	103
chrX_region	3100992	32384188	10.44	0	48
chrY	57227415	308651784	5.39	0	5710
chrY_region	0	0	0.00	0	0
chrM	16569	22897835	1381.97	1094	1453
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	2600837	14.86	2	37
chr1_KI270706v1_random_region	175055	2600837	14.86	2	37
chr1_KI270707v1_random	32032	302415	9.44	3	16
chr1_KI270707v1_random_region	32032	302415	9.44	3	16
chr1_KI270708v1_random	127682	1016843	7.96	0	18
chr1_KI270708v1_random_region	127682	1016843	7.96	0	18
chr1_KI270709v1_random	66860	27326310	408.71	3	2339
chr1_KI270709v1_random_region	66860	27326310	408.71	3	2339
chr1_KI270710v1_random	40176	544895	13.56	1	27
chr1_KI270710v1_random_region	40176	544895	13.56	1	27
chr1_KI270711v1_random	42210	767717	18.19	1	49
chr1_KI270711v1_random_region	42210	767717	18.19	1	49
chr1_KI270712v1_random	176043	1504911	8.55	0	40
chr1_KI270712v1_random_region	176043	1504911	8.55	0	40
chr1_KI270713v1_random	40745	851145	20.89	0	51
chr1_KI270713v1_random_region	40745	851145	20.89	0	51
chr1_KI270714v1_random	41717	559299	13.41	3	33
chr1_KI270714v1_random_region	41717	559299	13.41	3	33
chr2_KI270715v1_random	161471	1295330	8.02	0	21
chr2_KI270715v1_random_region	161471	1295330	8.02	0	21
chr2_KI270716v1_random	153799	608632	3.96	0	22
chr2_KI270716v1_random_region	153799	608632	3.96	0	22
chr3_GL000221v1_random	155397	3753467	24.15	0	74
chr3_GL000221v1_random_region	155397	3753467	24.15	0	74
chr4_GL000008v2_random	209709	6695001	31.93	2	485
chr4_GL000008v2_random_region	209709	6695001	31.93	2	485
chr5_GL000208v1_random	92689	2174984	23.47	7	84
chr5_GL000208v1_random_region	92689	2174984	23.47	7	84
chr9_KI270717v1_random	40062	316628	7.90	0	16
chr9_KI270717v1_random_region	40062	316628	7.90	0	16
chr9_KI270718v1_random	38054	532562	13.99	0	41
chr9_KI270718v1_random_region	38054	532562	13.99	0	41
chr9_KI270719v1_random	176845	3573336	20.21	1	53
chr9_KI270719v1_random_region	176845	3573336	20.21	1	53
chr9_KI270720v1_random	39050	467796	11.98	1	22
chr9_KI270720v1_random_region	39050	467796	11.98	1	22
chr11_KI270721v1_random	100316	919034	9.16	0	22
chr11_KI270721v1_random_region	100316	919034	9.16	0	22
chr14_GL000009v2_random	201709	7231477	35.85	0	59
chr14_GL000009v2_random_region	201709	7231477	35.85	0	59
chr14_GL000225v1_random	211173	32400643	153.43	0	672
chr14_GL000225v1_random_region	211173	32400643	153.43	0	672
chr14_KI270722v1_random	194050	2258739	11.64	0	37
chr14_KI270722v1_random_region	194050	2258739	11.64	0	37
chr14_GL000194v1_random	191469	6766160	35.34	3	77
chr14_GL000194v1_random_region	191469	6766160	35.34	3	77
chr14_KI270723v1_random	38115	819447	21.50	1	45
chr14_KI270723v1_random_region	38115	819447	21.50	1	45
chr14_KI270724v1_random	39555	677971	17.14	4	38
chr14_KI270724v1_random_region	39555	677971	17.14	4	38
