chrom	length	bases	mean	min	max
chr1	248956422	2549631313	10.24	0	8903
chr1_region	248956422	2549631313	10.24	0	8903
chr2	242193529	2466983607	10.19	0	607
chr2_region	242193529	2466983607	10.19	0	607
chr3	198295559	2015333323	10.16	0	599
chr3_region	198295559	2015333323	10.16	0	599
chr4	190214555	1933643310	10.17	0	3733
chr4_region	190214555	1933643310	10.17	0	3733
chr5	181538259	1829557169	10.08	0	1119
chr5_region	181538259	1829557169	10.08	0	1119
chr6	170805979	1743084561	10.21	0	120
chr6_region	170805979	1743084561	10.21	0	120
chr7	159345973	1603941694	10.07	0	322
chr7_region	159345973	1603941694	10.07	0	322
chr8	145138636	1474199853	10.16	0	394
chr8_region	145138636	1474199853	10.16	0	394
chr9	138394717	1222634600	8.83	0	149
chr9_region	138394717	1222634600	8.83	0	149
chr10	133797422	1387251665	10.37	0	754
chr10_region	133797422	1387251665	10.37	0	754
chr11	135086622	1357810297	10.05	0	218
chr11_region	135086622	1357810297	10.05	0	218
chr12	133275309	1354658130	10.16	0	89
chr12_region	133275309	1354658130	10.16	0	89
chr13	114364328	990531971	8.66	0	358
chr13_region	114364328	990531971	8.66	0	358
chr14	107043718	923320011	8.63	0	60
chr14_region	107043718	923320011	8.63	0	60
chr15	101991189	857586534	8.41	0	72
chr15_region	101991189	857586534	8.41	0	72
chr16	90338345	988434599	10.94	0	9541
chr16_region	90338345	988434599	10.94	0	9541
chr17	83257441	854676305	10.27	0	321
chr17_region	83257441	854676305	10.27	0	321
chr18	80373285	775245270	9.65	0	234
chr18_region	80373285	775245270	9.65	0	234
chr19	58617616	607209391	10.36	0	187
chr19_region	58617616	607209391	10.36	0	187
chr20	64444167	680991753	10.57	0	570
chr20_region	64444167	680991753	10.57	0	570
chr21	46709983	466448390	9.99	0	2043
chr21_region	46709983	466448390	9.99	0	2043
chr22	50818468	414262102	8.15	0	82
chr22_region	50818468	414262102	8.15	0	82
chrX	156040895	783657975	5.02	0	84
chrX_region	3100992	27273774	8.80	0	38
chrY	57227415	262091531	4.58	0	4887
chrY_region	0	0	0.00	0	0
chrM	16569	19311628	1165.53	940	1229
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	2272881	12.98	2	37
chr1_KI270706v1_random_region	175055	2272881	12.98	2	37
chr1_KI270707v1_random	32032	240897	7.52	2	12
chr1_KI270707v1_random_region	32032	240897	7.52	2	12
chr1_KI270708v1_random	127682	884420	6.93	0	18
chr1_KI270708v1_random_region	127682	884420	6.93	0	18
chr1_KI270709v1_random	66860	23276500	348.14	3	1984
chr1_KI270709v1_random_region	66860	23276500	348.14	3	1984
chr1_KI270710v1_random	40176	490018	12.20	1	24
chr1_KI270710v1_random_region	40176	490018	12.20	1	24
chr1_KI270711v1_random	42210	652129	15.45	1	41
chr1_KI270711v1_random_region	42210	652129	15.45	1	41
chr1_KI270712v1_random	176043	1298022	7.37	0	36
chr1_KI270712v1_random_region	176043	1298022	7.37	0	36
chr1_KI270713v1_random	40745	742360	18.22	0	39
chr1_KI270713v1_random_region	40745	742360	18.22	0	39
chr1_KI270714v1_random	41717	501394	12.02	3	30
chr1_KI270714v1_random_region	41717	501394	12.02	3	30
chr2_KI270715v1_random	161471	1178414	7.30	0	21
chr2_KI270715v1_random_region	161471	1178414	7.30	0	21
chr2_KI270716v1_random	153799	534245	3.47	0	21
chr2_KI270716v1_random_region	153799	534245	3.47	0	21
chr3_GL000221v1_random	155397	3260940	20.98	0	67
chr3_GL000221v1_random_region	155397	3260940	20.98	0	67
chr4_GL000008v2_random	209709	5359092	25.55	1	395
chr4_GL000008v2_random_region	209709	5359092	25.55	1	395
chr5_GL000208v1_random	92689	1836286	19.81	6	73
chr5_GL000208v1_random_region	92689	1836286	19.81	6	73
chr9_KI270717v1_random	40062	263783	6.58	0	15
