chrom	length	bases	mean	min	max
chr1	248956422	533864161	2.14	0	8896
chr1_region	248956422	533864161	2.14	0	8896
chr2	242193529	392026412	1.62	0	109106
chr2_region	242193529	392026412	1.62	0	109106
chr3	198295559	317407844	1.60	0	52024
chr3_region	198295559	317407844	1.60	0	52024
chr4	190214555	318728343	1.68	0	15838
chr4_region	190214555	318728343	1.68	0	15838
chr5	181538259	292018663	1.61	0	14615
chr5_region	181538259	292018663	1.61	0	14615
chr6	170805979	284083200	1.66	0	1979
chr6_region	170805979	284083200	1.66	0	1979
chr7	159345973	299920139	1.88	0	1102
chr7_region	159345973	299920139	1.88	0	1102
chr8	145138636	219576740	1.51	0	331
chr8_region	145138636	219576740	1.51	0	331
chr9	138394717	235431422	1.70	0	962
chr9_region	138394717	235431422	1.70	0	962
chr10	133797422	247266874	1.85	0	14029
chr10_region	133797422	247266874	1.85	0	14029
chr11	135086622	230394550	1.71	0	193
chr11_region	135086622	230394550	1.71	0	193
chr12	133275309	227265065	1.71	0	274
chr12_region	133275309	227265065	1.71	0	274
chr13	114364328	177102581	1.55	0	12467
chr13_region	114364328	177102581	1.55	0	12467
chr14	107043718	145461075	1.36	0	628
chr14_region	107043718	145461075	1.36	0	628
chr15	101991189	164459707	1.61	0	278
chr15_region	101991189	164459707	1.61	0	278
chr16	90338345	207009440	2.29	0	4533
chr16_region	90338345	207009440	2.29	0	4533
chr17	83257441	202624913	2.43	0	6012
chr17_region	83257441	202624913	2.43	0	6012
chr18	80373285	131783926	1.64	0	5233
chr18_region	80373285	131783926	1.64	0	5233
chr19	58617616	154185490	2.63	0	346
chr19_region	58617616	154185490	2.63	0	346
chr20	64444167	135006148	2.09	0	1736
chr20_region	64444167	135006148	2.09	0	1736
chr21	46709983	130420234	2.79	0	7187
chr21_region	46709983	130420234	2.79	0	7187
chr22	50818468	105708847	2.08	0	4492
chr22_region	50818468	105708847	2.08	0	4492
chrX	156040895	153764177	0.99	0	992
chrX_region	3100992	9902504	3.19	0	603
