chrom	length	bases	mean	min	max
chr1	248956422	83821598	0.34	0	2081
chr1_region	248956422	83821598	0.34	0	2081
chr2	242193529	56613800	0.23	0	17277
chr2_region	242193529	56613800	0.23	0	17277
chr3	198295559	48944756	0.25	0	16001
chr3_region	198295559	48944756	0.25	0	16001
chr4	190214555	49155435	0.26	0	3386
chr4_region	190214555	49155435	0.26	0	3386
chr5	181538259	43534301	0.24	0	2933
chr5_region	181538259	43534301	0.24	0	2933
chr6	170805979	40808878	0.24	0	425
chr6_region	170805979	40808878	0.24	0	425
chr7	159345973	42473669	0.27	0	229
chr7_region	159345973	42473669	0.27	0	229
chr8	145138636	32157313	0.22	0	71
chr8_region	145138636	32157313	0.22	0	71
chr9	138394717	35576628	0.26	0	218
chr9_region	138394717	35576628	0.26	0	218
chr10	133797422	36216418	0.27	0	2853
chr10_region	133797422	36216418	0.27	0	2853
chr11	135086622	33520049	0.25	0	45
chr11_region	135086622	33520049	0.25	0	45
chr12	133275309	32167138	0.24	0	45
chr12_region	133275309	32167138	0.24	0	45
chr13	114364328	27573806	0.24	0	2693
chr13_region	114364328	27573806	0.24	0	2693
chr14	107043718	20591722	0.19	0	133
chr14_region	107043718	20591722	0.19	0	133
chr15	101991189	23221781	0.23	0	54
chr15_region	101991189	23221781	0.23	0	54
chr16	90338345	31779598	0.35	0	1202
chr16_region	90338345	31779598	0.35	0	1202
chr17	83257441	26489874	0.32	0	1312
chr17_region	83257441	26489874	0.32	0	1312
chr18	80373285	20133014	0.25	0	1125
chr18_region	80373285	20133014	0.25	0	1125
chr19	58617616	20114536	0.34	0	50
chr19_region	58617616	20114536	0.34	0	50
chr20	64444167	20671318	0.32	0	321
chr20_region	64444167	20671318	0.32	0	321
chr21	46709983	22239741	0.48	0	1497
chr21_region	46709983	22239741	0.48	0	1497
chr22	50818468	15764163	0.31	0	918
chr22_region	50818468	15764163	0.31	0	918
chrX	156040895	20999682	0.13	0	188
chrX_region	3100992	1163542	0.38	0	142
chrY	57227415	18700319	0.33	0	1915
chrY_region	0	0	0.00	0	0
chrM	16569	8959382	540.73	0	692
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	247223	1.41	0	11
chr1_KI270706v1_random_region	175055	247223	1.41	0	11
chr1_KI270707v1_random	32032	50059	1.56	0	8
