chrom	length	bases	mean	min	max
chr1	248956422	3525295830	14.16	0	51390
chr1_region	248956422	3525295830	14.16	0	51390
chr2	242193529	2502047936	10.33	0	719572
chr2_region	242193529	2502047936	10.33	0	719572
chr3	198295559	1937243123	9.77	0	112195
chr3_region	198295559	1937243123	9.77	0	112195
chr4	190214555	2061058564	10.84	0	98042
chr4_region	190214555	2061058564	10.84	0	98042
chr5	181538259	1890298248	10.41	0	109544
chr5_region	181538259	1890298248	10.41	0	109544
chr6	170805979	1793354545	10.50	0	13507
chr6_region	170805979	1793354545	10.50	0	13507
chr7	159345973	1942062425	12.19	0	7962
chr7_region	159345973	1942062425	12.19	0	7962
chr8	145138636	1420469304	9.79	0	2592
chr8_region	145138636	1420469304	9.79	0	2592
chr9	138394717	1565734560	11.31	0	7547
chr9_region	138394717	1565734560	11.31	0	7547
chr10	133797422	1582572669	11.83	0	102906
chr10_region	133797422	1582572669	11.83	0	102906
chr11	135086622	1438022142	10.65	0	1771
chr11_region	135086622	1438022142	10.65	0	1771
chr12	133275309	1429534598	10.73	0	2128
chr12_region	133275309	1429534598	10.73	0	2128
chr13	114364328	1156085268	10.11	0	64234
chr13_region	114364328	1156085268	10.11	0	64234
chr14	107043718	907765102	8.48	0	5329
chr14_region	107043718	907765102	8.48	0	5329
chr15	101991189	1076072487	10.55	0	2277
chr15_region	101991189	1076072487	10.55	0	2277
chr16	90338345	1384645361	15.33	0	30371
chr16_region	90338345	1384645361	15.33	0	30371
chr17	83257441	1278916347	15.36	0	42281
chr17_region	83257441	1278916347	15.36	0	42281
chr18	80373285	875572246	10.89	0	36951
chr18_region	80373285	875572246	10.89	0	36951
chr19	58617616	946782687	16.15	0	2723
chr19_region	58617616	946782687	16.15	0	2723
chr20	64444167	898402223	13.94	0	13567
chr20_region	64444167	898402223	13.94	0	13567
chr21	46709983	954668268	20.44	0	47483
chr21_region	46709983	954668268	20.44	0	47483
chr22	50818468	698925002	13.75	0	28251
chr22_region	50818468	698925002	13.75	0	28251
chrX	156040895	1022027015	6.55	0	5634
chrX_region	3100992	65502326	21.12	0	4232
chrY	57227415	895143573	15.64	0	53370
chrY_region	0	0	0.00	0	0
chrM	16569	308517229	18620.15	0	22238
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	9558091	54.60	0	371
