chrom	length	bases	mean	min	max
chr1	248956422	3979239958	15.98	0	49576
chr1_region	248956422	3979239958	15.98	0	49576
chr2	242193529	2921558708	12.06	0	827006
chr2_region	242193529	2921558708	12.06	0	827006
chr3	198295559	2262947428	11.41	0	110569
chr3_region	198295559	2262947428	11.41	0	110569
chr4	190214555	2357721039	12.40	0	98023
chr4_region	190214555	2357721039	12.40	0	98023
chr5	181538259	2179743098	12.01	0	109505
chr5_region	181538259	2179743098	12.01	0	109505
chr6	170805979	2098733423	12.29	0	12988
chr6_region	170805979	2098733423	12.29	0	12988
chr7	159345973	2259180852	14.18	0	7962
chr7_region	159345973	2259180852	14.18	0	7962
chr8	145138636	1648624228	11.36	0	2592
chr8_region	145138636	1648624228	11.36	0	2592
chr9	138394717	1781510470	12.87	0	7542
chr9_region	138394717	1781510470	12.87	0	7542
chr10	133797422	1837113394	13.73	0	102908
chr10_region	133797422	1837113394	13.73	0	102908
chr11	135086622	1704852772	12.62	0	1535
chr11_region	135086622	1704852772	12.62	0	1535
chr12	133275309	1707215749	12.81	0	2122
chr12_region	133275309	1707215749	12.81	0	2122
chr13	114364328	1306804901	11.43	0	64905
chr13_region	114364328	1306804901	11.43	0	64905
chr14	107043718	1083820342	10.13	0	5324
chr14_region	107043718	1083820342	10.13	0	5324
chr15	101991189	1243508102	12.19	0	2260
chr15_region	101991189	1243508102	12.19	0	2260
chr16	90338345	1550322924	17.16	0	29048
chr16_region	90338345	1550322924	17.16	0	29048
chr17	83257441	1551217732	18.63	0	42284
chr17_region	83257441	1551217732	18.63	0	42284
chr18	80373285	996542646	12.40	0	37128
chr18_region	80373285	996542646	12.40	0	37128
chr19	58617616	1168701423	19.94	0	2723
chr19_region	58617616	1168701423	19.94	0	2723
chr20	64444167	1026232367	15.92	0	13565
chr20_region	64444167	1026232367	15.92	0	13565
chr21	46709983	1021400950	21.87	0	47486
chr21_region	46709983	1021400950	21.87	0	47486
chr22	50818468	805547819	15.85	0	28547
chr22_region	50818468	805547819	15.85	0	28547
chrX	156040895	1180852888	7.57	0	5634
chrX_region	3100992	76081549	24.53	0	4141
chrY	57227415	907955151	15.87	0	53365
chrY_region	0	0	0.00	0	0
chrM	16569	276050171	16660.64	0	22243
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	9659459	55.18	0	411
chr1_KI270706v1_random_region	175055	9659459	55.18	0	411
chr1_KI270707v1_random	32032	1556905	48.60	0	121
chr1_KI270707v1_random_region	32032	1556905	48.60	0	121
chr1_KI270708v1_random	127682	3325102	26.04	0	207
chr1_KI270708v1_random_region	127682	3325102	26.04	0	207
chr1_KI270709v1_random	66860	53478678	799.86	0	11520
chr1_KI270709v1_random_region	66860	53478678	799.86	0	11520
chr1_KI270710v1_random	40176	2525461	62.86	0	153
chr1_KI270710v1_random_region	40176	2525461	62.86	0	153
chr1_KI270711v1_random	42210	3778620	89.52	0	309
chr1_KI270711v1_random_region	42210	3778620	89.52	0	309
chr1_KI270712v1_random	176043	6735555	38.26	0	868
chr1_KI270712v1_random_region	176043	6735555	38.26	0	868
chr1_KI270713v1_random	40745	3485669	85.55	2	195
chr1_KI270713v1_random_region	40745	3485669	85.55	2	195
chr1_KI270714v1_random	41717	2090601	50.11	0	105
