chrom	length	bases	mean	min	max
chr1	248956422	34587217	0.14	0	1061
chr1_region	248956422	34587217	0.14	0	1061
chr2	242193529	21824353	0.09	0	7472
chr2_region	242193529	21824353	0.09	0	7472
chr3	198295559	20200569	0.10	0	8483
chr3_region	198295559	20200569	0.10	0	8483
chr4	190214555	20328632	0.11	0	1687
chr4_region	190214555	20328632	0.11	0	1687
chr5	181538259	17349035	0.10	0	1522
chr5_region	181538259	17349035	0.10	0	1522
chr6	170805979	15910803	0.09	0	222
chr6_region	170805979	15910803	0.09	0	222
chr7	159345973	14203907	0.09	0	42
chr7_region	159345973	14203907	0.09	0	42
chr8	145138636	13025056	0.09	0	36
chr8_region	145138636	13025056	0.09	0	36
chr9	138394717	13509073	0.10	0	101
chr9_region	138394717	13509073	0.10	0	101
chr10	133797422	14015781	0.10	0	1405
chr10_region	133797422	14015781	0.10	0	1405
chr11	135086622	11543465	0.09	0	24
chr11_region	135086622	11543465	0.09	0	24
chr12	133275309	12101418	0.09	0	20
chr12_region	133275309	12101418	0.09	0	20
chr13	114364328	11441352	0.10	0	1365
chr13_region	114364328	11441352	0.10	0	1365
chr14	107043718	7793553	0.07	0	54
chr14_region	107043718	7793553	0.07	0	54
chr15	101991189	7947553	0.08	0	23
chr15_region	101991189	7947553	0.08	0	23
chr16	90338345	13131360	0.15	0	729
chr16_region	90338345	13131360	0.15	0	729
chr17	83257441	9405130	0.11	0	646
chr17_region	83257441	9405130	0.11	0	646
chr18	80373285	8419367	0.10	0	618
chr18_region	80373285	8419367	0.10	0	618
chr19	58617616	6711107	0.11	0	26
chr19_region	58617616	6711107	0.11	0	26
chr20	64444167	8411102	0.13	0	159
chr20_region	64444167	8411102	0.13	0	159
chr21	46709983	9749257	0.21	0	755
chr21_region	46709983	9749257	0.21	0	755
chr22	50818468	6150956	0.12	0	459
chr22_region	50818468	6150956	0.12	0	459
chrX	156040895	8269662	0.05	0	65
chrX_region	3100992	384772	0.12	0	62
chrY	57227415	8779498	0.15	0	997
chrY_region	0	0	0.00	0	0
chrM	16569	3743920	225.96	0	360
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	118562	0.68	0	5
chr1_KI270706v1_random_region	175055	118562	0.68	0	5
chr1_KI270707v1_random	32032	26641	0.83	0	5
chr1_KI270707v1_random_region	32032	26641	0.83	0	5
chr1_KI270708v1_random	127682	38661	0.30	0	4
chr1_KI270708v1_random_region	127682	38661	0.30	0	4
chr1_KI270709v1_random	66860	1002209	14.99	0	227
chr1_KI270709v1_random_region	66860	1002209	14.99	0	227
chr1_KI270710v1_random	40176	18387	0.46	0	5
chr1_KI270710v1_random_region	40176	18387	0.46	0	5
chr1_KI270711v1_random	42210	47904	1.13	0	9
chr1_KI270711v1_random_region	42210	47904	1.13	0	9
chr1_KI270712v1_random	176043	72470	0.41	0	22
chr1_KI270712v1_random_region	176043	72470	0.41	0	22
chr1_KI270713v1_random	40745	42216	1.04	0	6
chr1_KI270713v1_random_region	40745	42216	1.04	0	6
chr1_KI270714v1_random	41717	12610	0.30	0	4
chr1_KI270714v1_random_region	41717	12610	0.30	0	4
chr2_KI270715v1_random	161471	80114	0.50	0	7
chr2_KI270715v1_random_region	161471	80114	0.50	0	7
chr2_KI270716v1_random	153799	68414	0.44	0	8
chr2_KI270716v1_random_region	153799	68414	0.44	0	8
chr3_GL000221v1_random	155397	153430	0.99	0	9
chr3_GL000221v1_random_region	155397	153430	0.99	0	9
chr4_GL000008v2_random	209709	235899	1.12	0	42
chr4_GL000008v2_random_region	209709	235899	1.12	0	42
chr5_GL000208v1_random	92689	60366	0.65	0	18
chr5_GL000208v1_random_region	92689	60366	0.65	0	18
chr9_KI270717v1_random	40062	14705	0.37	0	4
chr9_KI270717v1_random_region	40062	14705	0.37	0	4
chr9_KI270718v1_random	38054	25243	0.66	0	9
chr9_KI270718v1_random_region	38054	25243	0.66	0	9
chr9_KI270719v1_random	176845	130411	0.74	0	8
chr9_KI270719v1_random_region	176845	130411	0.74	0	8
chr9_KI270720v1_random	39050	41138	1.05	0	7
chr9_KI270720v1_random_region	39050	41138	1.05	0	7
chr11_KI270721v1_random	100316	1510	0.02	0	2
chr11_KI270721v1_random_region	100316	1510	0.02	0	2
chr14_GL000009v2_random	201709	300945	1.49	0	10
chr14_GL000009v2_random_region	201709	300945	1.49	0	10
