chrom	length	bases	mean	min	max
chr1	248956422	2700905504	10.85	0	54574
chr1_region	248956422	2700905504	10.85	0	54574
chr2	242193529	1703113389	7.03	0	524711
chr2_region	242193529	1703113389	7.03	0	524711
chr3	198295559	1313864940	6.63	0	117027
chr3_region	198295559	1313864940	6.63	0	117027
chr4	190214555	1508657938	7.93	0	98003
chr4_region	190214555	1508657938	7.93	0	98003
chr5	181538259	1329638943	7.32	0	109539
chr5_region	181538259	1329638943	7.32	0	109539
chr6	170805979	1197992928	7.01	0	13432
chr6_region	170805979	1197992928	7.01	0	13432
chr7	159345973	1275609548	8.01	0	5690
chr7_region	159345973	1275609548	8.01	0	5690
chr8	145138636	985863806	6.79	0	2592
chr8_region	145138636	985863806	6.79	0	2592
chr9	138394717	1147213111	8.29	0	7563
chr9_region	138394717	1147213111	8.29	0	7563
chr10	133797422	1093382064	8.17	0	102854
chr10_region	133797422	1093382064	8.17	0	102854
chr11	135086622	948793075	7.02	0	2487
chr11_region	135086622	948793075	7.02	0	2487
chr12	133275309	911045136	6.84	0	2128
chr12_region	133275309	911045136	6.84	0	2128
chr13	114364328	847746612	7.41	0	62015
chr13_region	114364328	847746612	7.41	0	62015
chr14	107043718	584847972	5.46	0	5251
chr14_region	107043718	584847972	5.46	0	5251
chr15	101991189	674391024	6.61	0	2240
chr15_region	101991189	674391024	6.61	0	2240
chr16	90338345	1068429794	11.83	0	41986
chr16_region	90338345	1068429794	11.83	0	41986
chr17	83257441	757304597	9.10	0	42243
chr17_region	83257441	757304597	9.10	0	42243
chr18	80373285	655364076	8.15	0	39213
chr18_region	80373285	655364076	8.15	0	39213
chr19	58617616	507279528	8.65	0	2137
chr19_region	58617616	507279528	8.65	0	2137
chr20	64444167	660739159	10.25	0	13545
chr20_region	64444167	660739159	10.25	0	13545
chr21	46709983	813433660	17.41	0	47428
chr21_region	46709983	813433660	17.41	0	47428
chr22	50818468	501225153	9.86	0	27836
chr22_region	50818468	501225153	9.86	0	27836
chrX	156040895	683454525	4.38	0	5633
chrX_region	3100992	33765420	10.89	0	4208
chrY	57227415	792981886	13.86	0	53334
chrY_region	0	0	0.00	0	0
chrM	16569	284679910	17181.48	0	22272
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	10038994	57.35	0	428
chr1_KI270706v1_random_region	175055	10038994	57.35	0	428
chr1_KI270707v1_random	32032	1902406	59.39	0	178
chr1_KI270707v1_random_region	32032	1902406	59.39	0	178
chr1_KI270708v1_random	127682	3707899	29.04	0	131
chr1_KI270708v1_random_region	127682	3707899	29.04	0	131
chr1_KI270709v1_random	66860	74916726	1120.50	0	14612
chr1_KI270709v1_random_region	66860	74916726	1120.50	0	14612
chr1_KI270710v1_random	40176	2035294	50.66	0	191
chr1_KI270710v1_random_region	40176	2035294	50.66	0	191
chr1_KI270711v1_random	42210	4319602	102.34	0	441
chr1_KI270711v1_random_region	42210	4319602	102.34	0	441
chr1_KI270712v1_random	176043	7451591	42.33	0	963
chr1_KI270712v1_random_region	176043	7451591	42.33	0	963
chr1_KI270713v1_random	40745	3537621	86.82	1	212
chr1_KI270713v1_random_region	40745	3537621	86.82	1	212
chr1_KI270714v1_random	41717	2296191	55.04	0	146
chr1_KI270714v1_random_region	41717	2296191	55.04	0	146
chr2_KI270715v1_random	161471	7178902	44.46	0	309
chr2_KI270715v1_random_region	161471	7178902	44.46	0	309
chr2_KI270716v1_random	153799	5382258	35.00	0	626
chr2_KI270716v1_random_region	153799	5382258	35.00	0	626
chr3_GL000221v1_random	155397	12940788	83.28	0	226
