chrom	length	bases	mean	min	max
chr1	248956422	149555050	0.60	0	583
chr1_region	248956422	149555050	0.60	0	583
chr2	242193529	146048757	0.60	0	34
chr2_region	242193529	146048757	0.60	0	34
chr3	198295559	116669450	0.59	0	43
chr3_region	198295559	116669450	0.59	0	43
chr4	190214555	113804073	0.60	0	202
chr4_region	190214555	113804073	0.60	0	202
chr5	181538259	108070283	0.60	0	45
chr5_region	181538259	108070283	0.60	0	45
chr6	170805979	103006071	0.60	0	12
chr6_region	170805979	103006071	0.60	0	12
chr7	159345973	93977001	0.59	0	21
chr7_region	159345973	93977001	0.59	0	21
chr8	145138636	87452884	0.60	0	22
chr8_region	145138636	87452884	0.60	0	22
chr9	138394717	70046854	0.51	0	9
chr9_region	138394717	70046854	0.51	0	9
chr10	133797422	81061550	0.61	0	43
chr10_region	133797422	81061550	0.61	0	43
chr11	135086622	79315021	0.59	0	11
chr11_region	135086622	79315021	0.59	0	11
chr12	133275309	79241195	0.59	0	14
chr12_region	133275309	79241195	0.59	0	14
chr13	114364328	59285778	0.52	0	20
chr13_region	114364328	59285778	0.52	0	20
chr14	107043718	54139704	0.51	0	10
chr14_region	107043718	54139704	0.51	0	10
chr15	101991189	50433550	0.49	0	8
chr15_region	101991189	50433550	0.49	0	8
chr16	90338345	56264299	0.62	0	581
chr16_region	90338345	56264299	0.62	0	581
chr17	83257441	50658096	0.61	0	24
chr17_region	83257441	50658096	0.61	0	24
chr18	80373285	45998800	0.57	0	17
chr18_region	80373285	45998800	0.57	0	17
chr19	58617616	34624681	0.59	0	12
chr19_region	58617616	34624681	0.59	0	12
chr20	64444167	40093334	0.62	0	50
chr20_region	64444167	40093334	0.62	0	50
chr21	46709983	26497805	0.57	0	117
chr21_region	46709983	26497805	0.57	0	117
chr22	50818468	23756206	0.47	0	12
chr22_region	50818468	23756206	0.47	0	12
chrX	156040895	45738555	0.29	0	7
chrX_region	3100992	1602562	0.52	0	5
chrY	57227415	15001390	0.26	0	294
