chrom	length	bases	mean	min	max
chr1	248956422	1365697445	5.49	0	4889
chr1_region	248956422	1365697445	5.49	0	4889
chr2	242193529	1324659437	5.47	0	333
chr2_region	242193529	1324659437	5.47	0	333
chr3	198295559	1076875411	5.43	0	312
chr3_region	198295559	1076875411	5.43	0	312
chr4	190214555	1037490965	5.45	0	1979
chr4_region	190214555	1037490965	5.45	0	1979
chr5	181538259	981275470	5.41	0	604
chr5_region	181538259	981275470	5.41	0	604
chr6	170805979	930751534	5.45	0	75
chr6_region	170805979	930751534	5.45	0	75
chr7	159345973	856560960	5.38	0	163
chr7_region	159345973	856560960	5.38	0	163
chr8	145138636	788677927	5.43	0	211
chr8_region	145138636	788677927	5.43	0	211
chr9	138394717	652983278	4.72	0	88
chr9_region	138394717	652983278	4.72	0	88
chr10	133797422	740101476	5.53	0	385
chr10_region	133797422	740101476	5.53	0	385
chr11	135086622	727926729	5.39	0	84
chr11_region	135086622	727926729	5.39	0	84
chr12	133275309	723076844	5.43	0	58
chr12_region	133275309	723076844	5.43	0	58
chr13	114364328	531670566	4.65	0	190
chr13_region	114364328	531670566	4.65	0	190
chr14	107043718	496062589	4.63	0	37
chr14_region	107043718	496062589	4.63	0	37
chr15	101991189	458388469	4.49	0	39
chr15_region	101991189	458388469	4.49	0	39
chr16	90338345	530651348	5.87	0	5219
chr16_region	90338345	530651348	5.87	0	5219
chr17	83257441	456252712	5.48	0	165
chr17_region	83257441	456252712	5.48	0	165
chr18	80373285	417656365	5.20	0	136
chr18_region	80373285	417656365	5.20	0	136
chr19	58617616	325332381	5.55	0	116
chr19_region	58617616	325332381	5.55	0	116
chr20	64444167	365236888	5.67	0	289
chr20_region	64444167	365236888	5.67	0	289
chr21	46709983	248162552	5.31	0	1083
chr21_region	46709983	248162552	5.31	0	1083
chr22	50818468	220228858	4.33	0	43
chr22_region	50818468	220228858	4.33	0	43
chrX	156040895	416706487	2.67	0	47
chrX_region	3100992	14631317	4.72	0	20
chrY	57227415	137435206	2.40	0	2575
chrY_region	0	0	0.00	0	0
chrM	16569	10444689	630.38	505	672
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	1144423	6.54	1	17
chr1_KI270706v1_random_region	175055	1144423	6.54	1	17
chr1_KI270707v1_random	32032	77754	2.43	1	5
chr1_KI270707v1_random_region	32032	77754	2.43	1	5
chr1_KI270708v1_random	127682	469143	3.67	0	11
chr1_KI270708v1_random_region	127682	469143	3.67	0	11
chr1_KI270709v1_random	66860	12545147	187.63	2	1086
chr1_KI270709v1_random_region	66860	12545147	187.63	2	1086
chr1_KI270710v1_random	40176	240044	5.97	0	11
chr1_KI270710v1_random_region	40176	240044	5.97	0	11
chr1_KI270711v1_random	42210	346887	8.22	1	21
chr1_KI270711v1_random_region	42210	346887	8.22	1	21
chr1_KI270712v1_random	176043	714818	4.06	0	27
chr1_KI270712v1_random_region	176043	714818	4.06	0	27
chr1_KI270713v1_random	40745	395379	9.70	0	23
chr1_KI270713v1_random_region	40745	395379	9.70	0	23
chr1_KI270714v1_random	41717	260371	6.24	2	16
chr1_KI270714v1_random_region	41717	260371	6.24	2	16
chr2_KI270715v1_random	161471	563433	3.49	0	9
chr2_KI270715v1_random_region	161471	563433	3.49	0	9
chr2_KI270716v1_random	153799	294483	1.91	0	12
chr2_KI270716v1_random_region	153799	294483	1.91	0	12
chr3_GL000221v1_random	155397	1664194	10.71	0	32
chr3_GL000221v1_random_region	155397	1664194	10.71	0	32
chr4_GL000008v2_random	209709	2770587	13.21	0	205
chr4_GL000008v2_random_region	209709	2770587	13.21	0	205
chr5_GL000208v1_random	92689	941328	10.16	3	40
chr5_GL000208v1_random_region	92689	941328	10.16	3	40
chr9_KI270717v1_random	40062	177099	4.42	0	9
chr9_KI270717v1_random_region	40062	177099	4.42	0	9
chr9_KI270718v1_random	38054	283238	7.44	0	16
chr9_KI270718v1_random_region	38054	283238	7.44	0	16
chr9_KI270719v1_random	176845	1536226	8.69	0	21
chr9_KI270719v1_random_region	176845	1536226	8.69	0	21
chr9_KI270720v1_random	39050	183026	4.69	1	9
chr9_KI270720v1_random_region	39050	183026	4.69	1	9
chr11_KI270721v1_random	100316	404710	4.03	0	13
chr11_KI270721v1_random_region	100316	404710	4.03	0	13
chr14_GL000009v2_random	201709	3371267	16.71	0	32
chr14_GL000009v2_random_region	201709	3371267	16.71	0	32
chr14_GL000225v1_random	211173	13998171	66.29	0	318
chr14_GL000225v1_random_region	211173	13998171	66.29	0	318
chr14_KI270722v1_random	194050	1009433	5.20	0	22
chr14_KI270722v1_random_region	194050	1009433	5.20	0	22
chr14_GL000194v1_random	191469	2849863	14.88	1	35
chr14_GL000194v1_random_region	191469	2849863	14.88	1	35
chr14_KI270723v1_random	38115	329225	8.64	0	22
chr14_KI270723v1_random_region	38115	329225	8.64	0	22
chr14_KI270724v1_random	39555	339677	8.59	2	18
chr14_KI270724v1_random_region	39555	339677	8.59	2	18
chr14_KI270725v1_random	172810	1080518	6.25	1	21
chr14_KI270725v1_random_region	172810	1080518	6.25	1	21
chr14_KI270726v1_random	43739	0	0.00	0	0
chr14_KI270726v1_random_region	43739	0	0.00	0	0
chr15_KI270727v1_random	448248	640313	1.43	0	10
chr15_KI270727v1_random_region	448248	640313	1.43	0	10
chr16_KI270728v1_random	1872759	4361206	2.33	0	28
chr16_KI270728v1_random_region	1872759	4361206	2.33	0	28
