chrom	length	bases	mean	min	max
chr1	248956422	3014338358	12.11	0	53884
chr1_region	248956422	3014338358	12.11	0	53884
chr2	242193529	2019503962	8.34	0	601021
chr2_region	242193529	2019503962	8.34	0	601021
chr3	198295559	1545191526	7.79	0	116984
chr3_region	198295559	1545191526	7.79	0	116984
chr4	190214555	1709068563	8.98	0	98044
chr4_region	190214555	1709068563	8.98	0	98044
chr5	181538259	1542861855	8.50	0	109575
chr5_region	181538259	1542861855	8.50	0	109575
chr6	170805979	1423395928	8.33	0	13403
chr6_region	170805979	1423395928	8.33	0	13403
chr7	159345973	1554702613	9.76	0	7965
chr7_region	159345973	1554702613	9.76	0	7965
chr8	145138636	1144647555	7.89	0	2592
chr8_region	145138636	1144647555	7.89	0	2592
chr9	138394717	1302348730	9.41	0	7572
chr9_region	138394717	1302348730	9.41	0	7572
chr10	133797422	1289335739	9.64	0	102901
chr10_region	133797422	1289335739	9.64	0	102901
chr11	135086622	1130398627	8.37	0	1912
chr11_region	135086622	1130398627	8.37	0	1912
chr12	133275309	1107282119	8.31	0	2128
chr12_region	133275309	1107282119	8.31	0	2128
chr13	114364328	964246478	8.43	0	63651
chr13_region	114364328	964246478	8.43	0	63651
chr14	107043718	706195420	6.60	0	5326
chr14_region	107043718	706195420	6.60	0	5326
chr15	101991189	863839808	8.47	0	2264
chr15_region	101991189	863839808	8.47	0	2264
chr16	90338345	1188781897	13.16	0	37280
chr16_region	90338345	1188781897	13.16	0	37280
chr17	83257441	931362901	11.19	0	42274
chr17_region	83257441	931362901	11.19	0	42274
chr18	80373285	734223449	9.14	0	38656
chr18_region	80373285	734223449	9.14	0	38656
chr19	58617616	671509400	11.46	0	2118
chr19_region	58617616	671509400	11.46	0	2118
chr20	64444167	746157260	11.58	0	13571
chr20_region	64444167	746157260	11.58	0	13571
chr21	46709983	870122623	18.63	0	47476
chr21_region	46709983	870122623	18.63	0	47476
chr22	50818468	572079239	11.26	0	27935
chr22_region	50818468	572079239	11.26	0	27935
chrX	156040895	813455345	5.21	0	5634
chrX_region	3100992	44060991	14.21	0	4204
chrY	57227415	842150692	14.72	0	53352
chrY_region	0	0	0.00	0	0
chrM	16569	314009706	18951.64	0	22243
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	9885981	56.47	0	384
chr1_KI270706v1_random_region	175055	9885981	56.47	0	384
chr1_KI270707v1_random	32032	1843239	57.54	0	178
chr1_KI270707v1_random_region	32032	1843239	57.54	0	178
chr1_KI270708v1_random	127682	3735051	29.25	0	133
chr1_KI270708v1_random_region	127682	3735051	29.25	0	133
chr1_KI270709v1_random	66860	65357320	977.52	0	14387
chr1_KI270709v1_random_region	66860	65357320	977.52	0	14387
chr1_KI270710v1_random	40176	2016311	50.19	0	189
chr1_KI270710v1_random_region	40176	2016311	50.19	0	189
chr1_KI270711v1_random	42210	4122907	97.68	0	441
chr1_KI270711v1_random_region	42210	4122907	97.68	0	441
chr1_KI270712v1_random	176043	7391985	41.99	0	990
chr1_KI270712v1_random_region	176043	7391985	41.99	0	990
chr1_KI270713v1_random	40745	3443060	84.50	1	212
chr1_KI270713v1_random_region	40745	3443060	84.50	1	212
chr1_KI270714v1_random	41717	2154705	51.65	0	146
chr1_KI270714v1_random_region	41717	2154705	51.65	0	146
chr2_KI270715v1_random	161471	7159391	44.34	0	308
chr2_KI270715v1_random_region	161471	7159391	44.34	0	308
chr2_KI270716v1_random	153799	5529574	35.95	0	626
chr2_KI270716v1_random_region	153799	5529574	35.95	0	626
chr3_GL000221v1_random	155397	13244950	85.23	0	256
chr3_GL000221v1_random_region	155397	13244950	85.23	0	256
chr4_GL000008v2_random	209709	19622361	93.57	1	2998
chr4_GL000008v2_random_region	209709	19622361	93.57	1	2998
chr5_GL000208v1_random	92689	7006056	75.59	0	649
chr5_GL000208v1_random_region	92689	7006056	75.59	0	649
chr9_KI270717v1_random	40062	1260915	31.47	0	83
chr9_KI270717v1_random_region	40062	1260915	31.47	0	83
chr9_KI270718v1_random	38054	2685287	70.57	0	512
chr9_KI270718v1_random_region	38054	2685287	70.57	0	512
chr9_KI270719v1_random	176845	14209362	80.35	0	490
chr9_KI270719v1_random_region	176845	14209362	80.35	0	490
chr9_KI270720v1_random	39050	2765327	70.82	4	297
chr9_KI270720v1_random_region	39050	2765327	70.82	4	297
chr11_KI270721v1_random	100316	2510828	25.03	0	68
chr11_KI270721v1_random_region	100316	2510828	25.03	0	68
chr14_GL000009v2_random	201709	24135550	119.66	1	324
chr14_GL000009v2_random_region	201709	24135550	119.66	1	324
chr14_GL000225v1_random	211173	92272019	436.95	0	19559
chr14_GL000225v1_random_region	211173	92272019	436.95	0	19559
chr14_KI270722v1_random	194050	8051555	41.49	0	146
chr14_KI270722v1_random_region	194050	8051555	41.49	0	146
chr14_GL000194v1_random	191469	24914313	130.12	0	336
chr14_GL000194v1_random_region	191469	24914313	130.12	0	336
chr14_KI270723v1_random	38115	5423208	142.29	2	3054
chr14_KI270723v1_random_region	38115	5423208	142.29	2	3054
chr14_KI270724v1_random	39555	4336075	109.62	2	2475
chr14_KI270724v1_random_region	39555	4336075	109.62	2	2475
chr14_KI270725v1_random	172810	10099705	58.44	0	241
chr14_KI270725v1_random_region	172810	10099705	58.44	0	241
chr14_KI270726v1_random	43739	5938	0.14	0	4
chr14_KI270726v1_random_region	43739	5938	0.14	0	4
chr15_KI270727v1_random	448248	6650606	14.84	0	124
chr15_KI270727v1_random_region	448248	6650606	14.84	0	124
chr16_KI270728v1_random	1872759	41900944	22.37	0	945
chr16_KI270728v1_random_region	1872759	41900944	22.37	0	945
chr17_GL000205v2_random	185591	17911458	96.51	0	536
chr17_GL000205v2_random_region	185591	17911458	96.51	0	536
chr17_KI270729v1_random	280839	63027891	224.43	0	138694
chr17_KI270729v1_random_region	280839	63027891	224.43	0	138694
chr17_KI270730v1_random	112551	10281529	91.35	0	2342
chr17_KI270730v1_random_region	112551	10281529	91.35	0	2342
chr22_KI270731v1_random	150754	8204462	54.42	0	3763
chr22_KI270731v1_random_region	150754	8204462	54.42	0	3763
chr22_KI270732v1_random	41543	6436449	154.93	2	326
chr22_KI270732v1_random_region	41543	6436449	154.93	2	326
chr22_KI270733v1_random	179772	144252798	802.42	0	7513
chr22_KI270733v1_random_region	179772	144252798	802.42	0	7513
chr22_KI270734v1_random	165050	14578874	88.33	0	18855
chr22_KI270734v1_random_region	165050	14578874	88.33	0	18855
chr22_KI270735v1_random	42811	11686429	272.98	32	15029
chr22_KI270735v1_random_region	42811	11686429	272.98	32	15029
chr22_KI270736v1_random	181920	20586765	113.16	0	4838
chr22_KI270736v1_random_region	181920	20586765	113.16	0	4838
chr22_KI270737v1_random	103838	6596787	63.53	0	12906
chr22_KI270737v1_random_region	103838	6596787	63.53	0	12906
chr22_KI270738v1_random	99375	5161568	51.94	0	251
chr22_KI270738v1_random_region	99375	5161568	51.94	0	251
chr22_KI270739v1_random	73985	1832059	24.76	0	117
chr22_KI270739v1_random_region	73985	1832059	24.76	0	117
chrY_KI270740v1_random	37240	803731	21.58	0	74
chrY_KI270740v1_random_region	0	0	0.00	0	0
chrUn_KI270302v1	2274	111498	49.03	0	159
chrUn_KI270302v1_region	2274	111498	49.03	0	159
chrUn_KI270304v1	2165	52434	24.22	0	76
chrUn_KI270304v1_region	2165	52434	24.22	0	76
