chrom	length	bases	mean	min	max
chr1	248956422	2648688068	10.64	0	9221
chr1_region	248956422	2648688068	10.64	0	9221
chr2	242193529	2563063221	10.58	0	623
chr2_region	242193529	2563063221	10.58	0	623
chr3	198295559	2093598929	10.56	0	613
chr3_region	198295559	2093598929	10.56	0	613
chr4	190214555	2011397863	10.57	0	3915
chr4_region	190214555	2011397863	10.57	0	3915
chr5	181538259	1901634552	10.48	0	1148
chr5_region	181538259	1901634552	10.48	0	1148
chr6	170805979	1810479315	10.60	0	123
chr6_region	170805979	1810479315	10.60	0	123
chr7	159345973	1666099251	10.46	0	338
chr7_region	159345973	1666099251	10.46	0	338
chr8	145138636	1532720479	10.56	0	418
chr8_region	145138636	1532720479	10.56	0	418
chr9	138394717	1270867805	9.18	0	157
chr9_region	138394717	1270867805	9.18	0	157
chr10	133797422	1442226587	10.78	0	795
chr10_region	133797422	1442226587	10.78	0	795
chr11	135086622	1410459895	10.44	0	232
chr11_region	135086622	1410459895	10.44	0	232
chr12	133275309	1406621171	10.55	0	90
chr12_region	133275309	1406621171	10.55	0	90
chr13	114364328	1029146496	9.00	0	374
chr13_region	114364328	1029146496	9.00	0	374
chr14	107043718	959304897	8.96	0	60
chr14_region	107043718	959304897	8.96	0	60
chr15	101991189	890845290	8.73	0	83
chr15_region	101991189	890845290	8.73	0	83
chr16	90338345	1026631287	11.36	0	9903
chr16_region	90338345	1026631287	11.36	0	9903
chr17	83257441	888146726	10.67	0	328
chr17_region	83257441	888146726	10.67	0	328
chr18	80373285	805985790	10.03	0	246
chr18_region	80373285	805985790	10.03	0	246
chr19	58617616	630845371	10.76	0	200
chr19_region	58617616	630845371	10.76	0	200
chr20	64444167	707538144	10.98	0	599
chr20_region	64444167	707538144	10.98	0	599
chr21	46709983	484434811	10.37	0	2096
chr21_region	46709983	484434811	10.37	0	2096
chr22	50818468	430313797	8.47	0	89
chr22_region	50818468	430313797	8.47	0	89
chrX	156040895	813405437	5.21	0	88
chrX_region	3100992	28489184	9.19	0	40
chrY	57227415	271954061	4.75	0	5064
chrY_region	0	0	0.00	0	0
chrM	16569	20075243	1211.61	969	1279
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	2335405	13.34	2	37
chr1_KI270706v1_random_region	175055	2335405	13.34	2	37
chr1_KI270707v1_random	32032	256631	8.01	2	13
chr1_KI270707v1_random_region	32032	256631	8.01	2	13
chr1_KI270708v1_random	127682	929225	7.28	0	18
chr1_KI270708v1_random_region	127682	929225	7.28	0	18
chr1_KI270709v1_random	66860	24233596	362.45	3	2062
chr1_KI270709v1_random_region	66860	24233596	362.45	3	2062
chr1_KI270710v1_random	40176	498404	12.41	1	24
chr1_KI270710v1_random_region	40176	498404	12.41	1	24
chr1_KI270711v1_random	42210	664480	15.74	1	41
chr1_KI270711v1_random_region	42210	664480	15.74	1	41
chr1_KI270712v1_random	176043	1357420	7.71	0	36
chr1_KI270712v1_random_region	176043	1357420	7.71	0	36
chr1_KI270713v1_random	40745	766211	18.81	0	41
chr1_KI270713v1_random_region	40745	766211	18.81	0	41
chr1_KI270714v1_random	41717	501394	12.02	3	30
chr1_KI270714v1_random_region	41717	501394	12.02	3	30
chr2_KI270715v1_random	161471	1226414	7.60	0	21
chr2_KI270715v1_random_region	161471	1226414	7.60	0	21
chr2_KI270716v1_random	153799	545041	3.54	0	21
chr2_KI270716v1_random_region	153799	545041	3.54	0	21
chr3_GL000221v1_random	155397	3350234	21.56	0	70
chr3_GL000221v1_random_region	155397	3350234	21.56	0	70
chr4_GL000008v2_random	209709	5534471	26.39	1	404
chr4_GL000008v2_random_region	209709	5534471	26.39	1	404
chr5_GL000208v1_random	92689	1889876	20.39	6	74
chr5_GL000208v1_random_region	92689	1889876	20.39	6	74
