chrom	length	bases	mean	min	max
chr1	248956422	1635818773	6.57	0	5791
chr1_region	248956422	1635818773	6.57	0	5791
chr2	242193529	1586854330	6.55	0	406
chr2_region	242193529	1586854330	6.55	0	406
chr3	198295559	1290701711	6.51	0	370
chr3_region	198295559	1290701711	6.51	0	370
chr4	190214555	1242439681	6.53	0	2349
chr4_region	190214555	1242439681	6.53	0	2349
chr5	181538259	1174580100	6.47	0	718
chr5_region	181538259	1174580100	6.47	0	718
chr6	170805979	1114574307	6.53	0	82
chr6_region	170805979	1114574307	6.53	0	82
chr7	159345973	1028729590	6.46	0	193
chr7_region	159345973	1028729590	6.46	0	193
chr8	145138636	942941229	6.50	0	241
chr8_region	145138636	942941229	6.50	0	241
chr9	138394717	782359624	5.65	0	109
chr9_region	138394717	782359624	5.65	0	109
chr10	133797422	886556815	6.63	0	476
chr10_region	133797422	886556815	6.63	0	476
chr11	135086622	872330827	6.46	0	131
chr11_region	135086622	872330827	6.46	0	131
chr12	133275309	869618598	6.52	0	77
chr12_region	133275309	869618598	6.52	0	77
chr13	114364328	637794075	5.58	0	236
chr13_region	114364328	637794075	5.58	0	236
chr14	107043718	593744772	5.55	0	43
chr14_region	107043718	593744772	5.55	0	43
chr15	101991189	549711391	5.39	0	42
chr15_region	101991189	549711391	5.39	0	42
chr16	90338345	637141645	7.05	0	6219
chr16_region	90338345	637141645	7.05	0	6219
chr17	83257441	545678152	6.55	0	196
chr17_region	83257441	545678152	6.55	0	196
chr18	80373285	500693206	6.23	0	158
chr18_region	80373285	500693206	6.23	0	158
chr19	58617616	390170157	6.66	0	130
chr19_region	58617616	390170157	6.66	0	130
chr20	64444167	439241582	6.82	0	361
chr20_region	64444167	439241582	6.82	0	361
chr21	46709983	298009592	6.38	0	1299
chr21_region	46709983	298009592	6.38	0	1299
chr22	50818468	264326891	5.20	0	48
chr22_region	50818468	264326891	5.20	0	48
chrX	156040895	500028133	3.20	0	55
chrX_region	3100992	17729200	5.72	0	24
chrY	57227415	166233242	2.90	0	3082
chrY_region	0	0	0.00	0	0
chrM	16569	12345901	745.12	603	794
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	1374330	7.85	1	20
chr1_KI270706v1_random_region	175055	1374330	7.85	1	20
chr1_KI270707v1_random	32032	104311	3.26	1	7
chr1_KI270707v1_random_region	32032	104311	3.26	1	7
chr1_KI270708v1_random	127682	561772	4.40	0	14
chr1_KI270708v1_random_region	127682	561772	4.40	0	14
chr1_KI270709v1_random	66860	15006658	224.45	3	1279
chr1_KI270709v1_random_region	66860	15006658	224.45	3	1279
chr1_KI270710v1_random	40176	267981	6.67	0	14
chr1_KI270710v1_random_region	40176	267981	6.67	0	14
chr1_KI270711v1_random	42210	431399	10.22	1	24
chr1_KI270711v1_random_region	42210	431399	10.22	1	24
chr1_KI270712v1_random	176043	808277	4.59	0	28
chr1_KI270712v1_random_region	176043	808277	4.59	0	28
chr1_KI270713v1_random	40745	518927	12.74	0	30
chr1_KI270713v1_random_region	40745	518927	12.74	0	30
chr1_KI270714v1_random	41717	328687	7.88	2	20
chr1_KI270714v1_random_region	41717	328687	7.88	2	20
chr2_KI270715v1_random	161471	649593	4.02	0	12
chr2_KI270715v1_random_region	161471	649593	4.02	0	12
chr2_KI270716v1_random	153799	380729	2.48	0	14
chr2_KI270716v1_random_region	153799	380729	2.48	0	14
chr3_GL000221v1_random	155397	2046788	13.17	0	42
chr3_GL000221v1_random_region	155397	2046788	13.17	0	42
chr4_GL000008v2_random	209709	3390848	16.17	0	251
chr4_GL000008v2_random_region	209709	3390848	16.17	0	251
chr5_GL000208v1_random	92689	1210848	13.06	4	50
chr5_GL000208v1_random_region	92689	1210848	13.06	4	50
chr9_KI270717v1_random	40062	190235	4.75	0	10
chr9_KI270717v1_random_region	40062	190235	4.75	0	10
chr9_KI270718v1_random	38054	315823	8.30	0	19
chr9_KI270718v1_random_region	38054	315823	8.30	0	19
chr9_KI270719v1_random	176845	1854945	10.49	0	29
chr9_KI270719v1_random_region	176845	1854945	10.49	0	29
chr9_KI270720v1_random	39050	221472	5.67	1	11
chr9_KI270720v1_random_region	39050	221472	5.67	1	11
chr11_KI270721v1_random	100316	508295	5.07	0	14
chr11_KI270721v1_random_region	100316	508295	5.07	0	14
chr14_GL000009v2_random	201709	4017040	19.92	0	36
chr14_GL000009v2_random_region	201709	4017040	19.92	0	36
chr14_GL000225v1_random	211173	16881771	79.94	0	380
chr14_GL000225v1_random_region	211173	16881771	79.94	0	380
chr14_KI270722v1_random	194050	1154508	5.95	0	25
chr14_KI270722v1_random_region	194050	1154508	5.95	0	25
chr14_GL000194v1_random	191469	3529526	18.43	1	44
chr14_GL000194v1_random_region	191469	3529526	18.43	1	44
chr14_KI270723v1_random	38115	420439	11.03	0	22
chr14_KI270723v1_random_region	38115	420439	11.03	0	22
chr14_KI270724v1_random	39555	403170	10.19	2	23
chr14_KI270724v1_random_region	39555	403170	10.19	2	23
chr14_KI270725v1_random	172810	1279744	7.41	1	25
chr14_KI270725v1_random_region	172810	1279744	7.41	1	25
chr14_KI270726v1_random	43739	0	0.00	0	0
chr14_KI270726v1_random_region	43739	0	0.00	0	0
chr15_KI270727v1_random	448248	711716	1.59	0	11
chr15_KI270727v1_random_region	448248	711716	1.59	0	11
chr16_KI270728v1_random	1872759	5319499	2.84	0	36
chr16_KI270728v1_random_region	1872759	5319499	2.84	0	36
chr17_GL000205v2_random	185591	3731197	20.10	0	54
chr17_GL000205v2_random_region	185591	3731197	20.10	0	54
chr17_KI270729v1_random	280839	4620854	16.45	0	442
chr17_KI270729v1_random_region	280839	4620854	16.45	0	442
chr17_KI270730v1_random	112551	1323553	11.76	0	66
chr17_KI270730v1_random_region	112551	1323553	11.76	0	66
chr22_KI270731v1_random	150754	1047175	6.95	0	25
chr22_KI270731v1_random_region	150754	1047175	6.95	0	25
chr22_KI270732v1_random	41543	979949	23.59	4	36
chr22_KI270732v1_random_region	41543	979949	23.59	4	36
chr22_KI270733v1_random	179772	24867575	138.33	2	613
chr22_KI270733v1_random_region	179772	24867575	138.33	2	613
chr22_KI270734v1_random	165050	1080221	6.54	0	22
chr22_KI270734v1_random_region	165050	1080221	6.54	0	22
chr22_KI270735v1_random	42811	729931	17.05	3	30
chr22_KI270735v1_random_region	42811	729931	17.05	3	30
chr22_KI270736v1_random	181920	1827755	10.05	0	91
chr22_KI270736v1_random_region	181920	1827755	10.05	0	91
chr22_KI270737v1_random	103838	420014	4.04	0	11
chr22_KI270737v1_random_region	103838	420014	4.04	0	11
chr22_KI270738v1_random	99375	889329	8.95	0	24
chr22_KI270738v1_random_region	99375	889329	8.95	0	24
chr22_KI270739v1_random	73985	146696	1.98	0	10
chr22_KI270739v1_random_region	73985	146696	1.98	0	10
chrY_KI270740v1_random	37240	136714	3.67	0	7
chrY_KI270740v1_random_region	0	0	0.00	0	0
chrUn_KI270302v1	2274	3874	1.70	1	2
chrUn_KI270302v1_region	2274	3874	1.70	1	2
chrUn_KI270322v1	21476	1175	0.05	0	1
chrUn_KI270322v1_region	21476	1175	0.05	0	1
chrUn_KI270320v1	4416	92146	20.87	8	25
chrUn_KI270320v1_region	4416	92146	20.87	8	25
chrUn_KI270315v1	2276	2276	1.00	1	1
chrUn_KI270315v1_region	2276	2276	1.00	1	1
chrUn_KI270311v1	12399	17831	1.44	0	12
chrUn_KI270311v1_region	12399	17831	1.44	0	12
chrUn_KI270414v1	2489	0	0.00	0	0
chrUn_KI270414v1_region	2489	0	0.00	0	0
chrUn_KI270419v1	1029	0	0.00	0	0
chrUn_KI270419v1_region	1029	0	0.00	0	0
chrUn_KI270418v1	2145	2032	0.95	0	1
chrUn_KI270418v1_region	2145	2032	0.95	0	1
chrUn_KI270420v1	2321	0	0.00	0	0
chrUn_KI270420v1_region	2321	0	0.00	0	0
chrUn_KI270417v1	2043	6441	3.15	2	4
chrUn_KI270417v1_region	2043	6441	3.15	2	4
chrUn_KI270422v1	1445	6969	4.82	4	5
chrUn_KI270422v1_region	1445	6969	4.82	4	5
chrUn_KI270423v1	981	750	0.76	0	1
chrUn_KI270423v1_region	981	750	0.76	0	1
chrUn_KI270429v1	1361	1263	0.93	0	1
chrUn_KI270429v1_region	1361	1263	0.93	0	1
chrUn_KI270442v1	392061	7548799	19.25	0	55
chrUn_KI270442v1_region	392061	7548799	19.25	0	55
chrUn_KI270466v1	1233	176337	143.01	16	167
chrUn_KI270466v1_region	1233	176337	143.01	16	167
chrUn_KI270465v1	1774	6515	3.67	2	4
chrUn_KI270465v1_region	1774	6515	3.67	2	4
chrUn_KI270467v1	3920	6895942	1759.17	14	2301
chrUn_KI270467v1_region	3920	6895942	1759.17	14	2301
chrUn_KI270435v1	92983	761525	8.19	1	36
chrUn_KI270435v1_region	92983	761525	8.19	1	36
chrUn_KI270438v1	112505	47812494	424.98	0	4978
chrUn_KI270438v1_region	112505	47812494	424.98	0	4978
chrUn_KI270468v1	4055	34404	8.48	5	10
chrUn_KI270468v1_region	4055	34404	8.48	5	10
chrUn_KI270510v1	2415	68613	28.41	24	31
chrUn_KI270510v1_region	2415	68613	28.41	24	31
chrUn_KI270509v1	2318	12357	5.33	4	7
chrUn_KI270509v1_region	2318	12357	5.33	4	7
chrUn_KI270518v1	2186	6059	2.77	1	3
chrUn_KI270518v1_region	2186	6059	2.77	1	3
chrUn_KI270508v1	1951	67016	34.35	20	36
chrUn_KI270508v1_region	1951	67016	34.35	20	36
chrUn_KI270516v1	1300	19332	14.87	14	16
chrUn_KI270516v1_region	1300	19332	14.87	14	16
chrUn_KI270512v1	22689	233823	10.31	0	21
chrUn_KI270512v1_region	22689	233823	10.31	0	21
chrUn_KI270519v1	138126	2241638	16.23	0	75
chrUn_KI270519v1_region	138126	2241638	16.23	0	75
chrUn_KI270522v1	5674	30478	5.37	4	8
chrUn_KI270522v1_region	5674	30478	5.37	4	8
chrUn_KI270511v1	8127	115952	14.27	0	17
chrUn_KI270511v1_region	8127	115952	14.27	0	17
chrUn_KI270515v1	6361	167647	26.36	12	33
chrUn_KI270515v1_region	6361	167647	26.36	12	33
chrUn_KI270507v1	5353	32336	6.04	2	9
chrUn_KI270507v1_region	5353	32336	6.04	2	9
chrUn_KI270517v1	3253	42564	13.08	9	15
chrUn_KI270517v1_region	3253	42564	13.08	9	15
chrUn_KI270528v1	2983	5877	1.97	0	3
chrUn_KI270528v1_region	2983	5877	1.97	0	3
chrUn_KI270530v1	2168	6788	3.13	2	4
chrUn_KI270530v1_region	2168	6788	3.13	2	4
chrUn_KI270538v1	91309	1779265	19.49	0	91
chrUn_KI270538v1_region	91309	1779265	19.49	0	91
chrUn_KI270544v1	1202	3466	2.88	0	3
chrUn_KI270544v1_region	1202	3466	2.88	0	3
chrUn_KI270583v1	1400	0	0.00	0	0
chrUn_KI270583v1_region	1400	0	0.00	0	0
chrUn_KI270587v1	2969	32053	10.80	6	14
chrUn_KI270587v1_region	2969	32053	10.80	6	14
chrUn_KI270580v1	1553	0	0.00	0	0
chrUn_KI270580v1_region	1553	0	0.00	0	0
chrUn_KI270581v1	7046	7604	1.08	0	3
chrUn_KI270581v1_region	7046	7604	1.08	0	3
chrUn_KI270579v1	31033	125856	4.06	0	10
chrUn_KI270579v1_region	31033	125856	4.06	0	10
chrUn_KI270589v1	44474	298866	6.72	0	43
chrUn_KI270589v1_region	44474	298866	6.72	0	43
chrUn_KI270590v1	4685	102851	21.95	0	33
chrUn_KI270590v1_region	4685	102851	21.95	0	33
chrUn_KI270584v1	4513	30264	6.71	4	10
chrUn_KI270584v1_region	4513	30264	6.71	4	10
chrUn_KI270582v1	6504	18700	2.88	0	4
chrUn_KI270582v1_region	6504	18700	2.88	0	4
chrUn_KI270588v1	6158	47416	7.70	0	13
chrUn_KI270588v1_region	6158	47416	7.70	0	13
chrUn_KI270593v1	3041	4874	1.60	1	2
chrUn_KI270593v1_region	3041	4874	1.60	1	2
chrUn_KI270591v1	5796	111056	19.16	13	24
chrUn_KI270591v1_region	5796	111056	19.16	13	24
chrUn_KI270330v1	1652	1651	1.00	0	1
chrUn_KI270330v1_region	1652	1651	1.00	0	1
chrUn_KI270334v1	1368	2736	2.00	2	2
chrUn_KI270334v1_region	1368	2736	2.00	2	2
chrUn_KI270333v1	2699	536401	198.74	12	220
chrUn_KI270333v1_region	2699	536401	198.74	12	220
chrUn_KI270338v1	1428	0	0.00	0	0
chrUn_KI270338v1_region	1428	0	0.00	0	0
chrUn_KI270336v1	1026	0	0.00	0	0
chrUn_KI270336v1_region	1026	0	0.00	0	0
chrUn_KI270337v1	1121	6308	5.63	0	6
chrUn_KI270337v1_region	1121	6308	5.63	0	6
chrUn_KI270364v1	2855	1264	0.44	0	1
