chrom	length	bases	mean	min	max
chr1	248956422	1027327519	4.13	0	16161
chr1_region	248956422	1027327519	4.13	0	16161
chr2	242193529	752798794	3.11	0	206539
chr2_region	242193529	752798794	3.11	0	206539
chr3	198295559	599904436	3.03	0	74331
chr3_region	198295559	599904436	3.03	0	74331
chr4	190214555	609924993	3.21	0	29714
chr4_region	190214555	609924993	3.21	0	29714
chr5	181538259	558995221	3.08	0	28331
chr5_region	181538259	558995221	3.08	0	28331
chr6	170805979	542026394	3.17	0	3727
chr6_region	170805979	542026394	3.17	0	3727
chr7	159345973	577210269	3.62	0	2115
chr7_region	159345973	577210269	3.62	0	2115
chr8	145138636	421442921	2.90	0	630
chr8_region	145138636	421442921	2.90	0	630
chr9	138394717	453326754	3.28	0	1919
chr9_region	138394717	453326754	3.28	0	1919
chr10	133797422	473721408	3.54	0	27512
chr10_region	133797422	473721408	3.54	0	27512
chr11	135086622	441973934	3.27	0	383
chr11_region	135086622	441973934	3.27	0	383
chr12	133275309	436548771	3.28	0	525
chr12_region	133275309	436548771	3.28	0	525
chr13	114364328	339927218	2.97	0	22966
chr13_region	114364328	339927218	2.97	0	22966
chr14	107043718	278488712	2.60	0	1238
chr14_region	107043718	278488712	2.60	0	1238
chr15	101991189	316885704	3.11	0	580
chr15_region	101991189	316885704	3.11	0	580
chr16	90338345	398685782	4.41	0	8691
chr16_region	90338345	398685782	4.41	0	8691
chr17	83257441	386881059	4.65	0	11576
chr17_region	83257441	386881059	4.65	0	11576
chr18	80373285	253740220	3.16	0	10184
chr18_region	80373285	253740220	3.16	0	10184
chr19	58617616	294269669	5.02	0	679
chr19_region	58617616	294269669	5.02	0	679
chr20	64444167	259955472	4.03	0	3493
chr20_region	64444167	259955472	4.03	0	3493
chr21	46709983	254021165	5.44	0	13866
chr21_region	46709983	254021165	5.44	0	13866
chr22	50818468	204429382	4.02	0	8449
chr22_region	50818468	204429382	4.02	0	8449
chrX	156040895	299599700	1.92	0	1859
chrX_region	3100992	19092084	6.16	0	1158
chrY	57227415	223820718	3.91	0	16483
chrY_region	0	0	0.00	0	0
chrM	16569	79538506	4800.44	0	6044
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	2411930	13.78	0	116
chr1_KI270706v1_random_region	175055	2411930	13.78	0	116
chr1_KI270707v1_random	32032	397743	12.42	0	33
chr1_KI270707v1_random_region	32032	397743	12.42	0	33
chr1_KI270708v1_random	127682	900028	7.05	0	46
chr1_KI270708v1_random_region	127682	900028	7.05	0	46
chr1_KI270709v1_random	66860	14985701	224.14	0	3339
chr1_KI270709v1_random_region	66860	14985701	224.14	0	3339
chr1_KI270710v1_random	40176	571979	14.24	0	47
chr1_KI270710v1_random_region	40176	571979	14.24	0	47
chr1_KI270711v1_random	42210	1015723	24.06	0	102
